T,Predicted_GPP,CO2
8.221,1545.372371,369.845
8.250818182,1546.795511,369.845
8.280636364,1548.21865,369.845
8.310454545,1549.64179,369.845
8.340272727,1551.06493,369.845
8.370090909,1552.488069,369.845
8.399909091,1553.911209,369.845
8.429727273,1555.334349,369.845
8.459545455,1556.757488,369.845
8.489363636,1558.180628,369.845
8.519181818,1559.603768,369.845
8.549,1561.026908,369.845
8.578818182,1562.450047,369.845
8.608636364,1563.873187,369.845
8.638454545,1565.296327,369.845
8.668272727,1566.719466,369.845
8.698090909,1568.142606,369.845
8.727909091,1569.565746,369.845
8.757727273,1570.988885,369.845
8.787545455,1572.412025,369.845
8.817363636,1573.835165,369.845
8.847181818,1575.258305,369.845
8.877,1576.681444,369.845
8.906818182,1578.104584,369.845
8.936636364,1579.527724,369.845
8.966454545,1580.950863,369.845
8.996272727,1582.374003,369.845
9.026090909,1583.797143,369.845
9.055909091,1585.220283,369.845
9.085727273,1586.643422,369.845
9.115545455,1588.066562,369.845
9.145363636,1589.489702,369.845
9.175181818,1590.912841,369.845
9.205,1592.335981,369.845
9.234818182,1593.759121,369.845
9.264636364,1595.18226,369.845
9.294454545,1596.6054,369.845
9.324272727,1598.02854,369.845
9.354090909,1599.45168,369.845
9.383909091,1600.874819,369.845
9.413727273,1602.297959,369.845
9.443545455,1603.721099,369.845
9.473363636,1605.144238,369.845
9.503181818,1606.567378,369.845
9.533,1607.990518,369.845
9.562818182,1609.413657,369.845
9.592636364,1610.836797,369.845
9.622454545,1612.259937,369.845
9.652272727,1613.683077,369.845
9.682090909,1615.106216,369.845
9.711909091,1616.529356,369.845
9.741727273,1617.952496,369.845
9.771545455,1619.375635,369.845
9.801363636,1620.798775,369.845
9.831181818,1622.221915,369.845
9.861,1623.645054,369.845
9.890818182,1625.068194,369.845
9.920636364,1626.491334,369.845
9.950454545,1627.914474,369.845
9.980272727,1629.337613,369.845
10.01009091,1630.760753,369.845
10.03990909,1632.183893,369.845
10.06972727,1633.607032,369.845
10.09954545,1635.030172,369.845
10.12936364,1636.453312,369.845
10.15918182,1637.876451,369.845
10.189,1639.299591,369.845
10.21881818,1640.722731,369.845
10.24863636,1642.145871,369.845
10.27845455,1643.56901,369.845
10.30827273,1644.99215,369.845
10.33809091,1646.41529,369.845
10.36790909,1647.838429,369.845
10.39772727,1649.261569,369.845
10.42754545,1650.684709,369.845
10.45736364,1652.107848,369.845
10.48718182,1653.530988,369.845
10.517,1654.954128,369.845
10.54681818,1656.377268,369.845
10.57663636,1657.800407,369.845
10.60645455,1659.223547,369.845
10.63627273,1660.646687,369.845
10.66609091,1662.069826,369.845
10.69590909,1663.492966,369.845
10.72572727,1664.916106,369.845
10.75554545,1666.339245,369.845
10.78536364,1667.762385,369.845
10.81518182,1669.185525,369.845
10.845,1670.608665,369.845
10.87481818,1672.031804,369.845
10.90463636,1673.454944,369.845
10.93445455,1674.878084,369.845
10.96427273,1676.301223,369.845
10.99409091,1677.724363,369.845
11.02390909,1679.147503,369.845
11.05372727,1680.570642,369.845
11.08354545,1681.993782,369.845
11.11336364,1683.416922,369.845
11.14318182,1684.840062,369.845
11.173,1686.263201,369.845
8.221,1479.063218,394.5228947
8.250818182,1481.287949,394.5228947
8.280636364,1483.51268,394.5228947
8.310454545,1485.737411,394.5228947
8.340272727,1487.962142,394.5228947
8.370090909,1490.186874,394.5228947
8.399909091,1492.411605,394.5228947
8.429727273,1494.636336,394.5228947
8.459545455,1496.861067,394.5228947
8.489363636,1499.085798,394.5228947
8.519181818,1501.31053,394.5228947
8.549,1503.535261,394.5228947
8.578818182,1505.759992,394.5228947
8.608636364,1507.984723,394.5228947
8.638454545,1510.209454,394.5228947
8.668272727,1512.434186,394.5228947
8.698090909,1514.658917,394.5228947
8.727909091,1516.883648,394.5228947
8.757727273,1519.108379,394.5228947
8.787545455,1521.33311,394.5228947
8.817363636,1523.557842,394.5228947
8.847181818,1525.782573,394.5228947
8.877,1528.007304,394.5228947
8.906818182,1530.232035,394.5228947
8.936636364,1532.456766,394.5228947
8.966454545,1534.681498,394.5228947
8.996272727,1536.906229,394.5228947
9.026090909,1539.13096,394.5228947
9.055909091,1541.355691,394.5228947
9.085727273,1543.580422,394.5228947
9.115545455,1545.805154,394.5228947
9.145363636,1548.029885,394.5228947
9.175181818,1550.254616,394.5228947
9.205,1552.479347,394.5228947
9.234818182,1554.704078,394.5228947
9.264636364,1556.92881,394.5228947
9.294454545,1559.153541,394.5228947
9.324272727,1561.378272,394.5228947
9.354090909,1563.603003,394.5228947
9.383909091,1565.827734,394.5228947
9.413727273,1568.052466,394.5228947
9.443545455,1570.277197,394.5228947
9.473363636,1572.501928,394.5228947
9.503181818,1574.726659,394.5228947
9.533,1576.95139,394.5228947
9.562818182,1579.176122,394.5228947
9.592636364,1581.400853,394.5228947
9.622454545,1583.625584,394.5228947
9.652272727,1585.850315,394.5228947
9.682090909,1588.075046,394.5228947
9.711909091,1590.299778,394.5228947
9.741727273,1592.524509,394.5228947
9.771545455,1594.74924,394.5228947
9.801363636,1596.973971,394.5228947
9.831181818,1599.198702,394.5228947
9.861,1601.423434,394.5228947
9.890818182,1603.648165,394.5228947
9.920636364,1605.872896,394.5228947
9.950454545,1608.097627,394.5228947
9.980272727,1610.322358,394.5228947
10.01009091,1612.54709,394.5228947
10.03990909,1614.771821,394.5228947
10.06972727,1616.996552,394.5228947
10.09954545,1619.221283,394.5228947
10.12936364,1621.446014,394.5228947
