P,Predicted_GPP,CO2
406.183,535.4611399,372.04
408.1515253,536.6060311,372.04
410.1200505,537.7509224,372.04
412.0885758,538.8958137,372.04
414.057101,540.0407049,372.04
416.0256263,541.1855962,372.04
417.9941515,542.3304874,372.04
419.9626768,543.4753787,372.04
421.931202,544.62027,372.04
423.8997273,545.7651612,372.04
425.8682525,546.9100525,372.04
427.8367778,548.0549437,372.04
429.805303,549.199835,372.04
431.7738283,550.3447263,372.04
433.7423535,551.4896175,372.04
435.7108788,552.6345088,372.04
437.679404,553.7794,372.04
439.6479293,554.9242913,372.04
441.6164545,556.0691826,372.04
443.5849798,557.2140738,372.04
445.5535051,558.3589651,372.04
447.5220303,559.5038563,372.04
449.4905556,560.6487476,372.04
451.4590808,561.7936389,372.04
453.4276061,562.9385301,372.04
455.3961313,564.0834214,372.04
457.3646566,565.2283126,372.04
459.3331818,566.3732039,372.04
461.3017071,567.5180952,372.04
463.2702323,568.6629864,372.04
465.2387576,569.8078777,372.04
467.2072828,570.952769,372.04
469.1758081,572.0976602,372.04
471.1443333,573.2425515,372.04
473.1128586,574.3874427,372.04
475.0813838,575.532334,372.04
477.0499091,576.6772253,372.04
479.0184343,577.8221165,372.04
480.9869596,578.9670078,372.04
482.9554848,580.111899,372.04
484.9240101,581.2567903,372.04
486.8925354,582.4016816,372.04
488.8610606,583.5465728,372.04
490.8295859,584.6914641,372.04
492.7981111,585.8363553,372.04
494.7666364,586.9812466,372.04
496.7351616,588.1261379,372.04
498.7036869,589.2710291,372.04
500.6722121,590.4159204,372.04
502.6407374,591.5608116,372.04
504.6092626,592.7057029,372.04
506.5777879,593.8505942,372.04
508.5463131,594.9954854,372.04
510.5148384,596.1403767,372.04
512.4833636,597.2852679,372.04
514.4518889,598.4301592,372.04
516.4204141,599.5750505,372.04
518.3889394,600.7199417,372.04
520.3574646,601.864833,372.04
522.3259899,603.0097242,372.04
524.2945152,604.1546155,372.04
526.2630404,605.2995068,372.04
528.2315657,606.444398,372.04
530.2000909,607.5892893,372.04
532.1686162,608.7341806,372.04
534.1371414,609.8790718,372.04
536.1056667,611.0239631,372.04
538.0741919,612.1688543,372.04
540.0427172,613.3137456,372.04
542.0112424,614.4586369,372.04
543.9797677,615.6035281,372.04
545.9482929,616.7484194,372.04
547.9168182,617.8933106,372.04
549.8853434,619.0382019,372.04
551.8538687,620.1830932,372.04
553.8223939,621.3279844,372.04
555.7909192,622.4728757,372.04
557.7594444,623.6177669,372.04
559.7279697,624.7626582,372.04
561.6964949,625.9075495,372.04
563.6650202,627.0524407,372.04
565.6335455,628.197332,372.04
567.6020707,629.3422232,372.04
569.570596,630.4871145,372.04
571.5391212,631.6320058,372.04
573.5076465,632.776897,372.04
575.4761717,633.9217883,372.04
577.444697,635.0666795,372.04
579.4132222,636.2115708,372.04
581.3817475,637.3564621,372.04
583.3502727,638.5013533,372.04
585.318798,639.6462446,372.04
587.2873232,640.7911358,372.04
589.2558485,641.9360271,372.04
591.2243737,643.0809184,372.04
593.192899,644.2258096,372.04
595.1614242,645.3707009,372.04
597.1299495,646.5155922,372.04
599.0984747,647.6604834,372.04
601.067,648.8053747,372.04
406.183,612.8596634,389.3894286
408.1515253,614.4265493,389.3894286
410.1200505,615.9934351,389.3894286
412.0885758,617.5603209,389.3894286
