P,Predicted_GPP,CO2
302.902,1365.947254,270
307.7024343,1373.085719,270
312.5028687,1380.224184,270
317.303303,1387.362649,270
322.1037374,1394.501114,270
326.9041717,1401.63958,270
331.7046061,1408.778045,270
336.5050404,1415.91651,270
341.3054747,1423.054975,270
346.1059091,1430.193441,270
350.9063434,1437.331906,270
355.7067778,1444.470371,270
360.5072121,1451.608836,270
365.3076465,1458.747301,270
370.1080808,1465.885767,270
374.9085152,1473.024232,270
379.7089495,1480.162697,270
384.5093838,1487.301162,270
389.3098182,1494.439627,270
394.1102525,1501.578093,270
398.9106869,1508.716558,270
403.7111212,1515.855023,270
408.5115556,1522.993488,270
413.3119899,1530.131953,270
418.1124242,1537.270419,270
422.9128586,1544.408884,270
427.7132929,1551.547349,270
432.5137273,1558.685814,270
437.3141616,1565.82428,270
442.114596,1572.962745,270
446.9150303,1580.10121,270
451.7154646,1587.239675,270
456.515899,1594.37814,270
461.3163333,1601.516606,270
466.1167677,1608.655071,270
470.917202,1615.793536,270
475.7176364,1622.932001,270
480.5180707,1630.070466,270
485.3185051,1637.208932,270
490.1189394,1644.347397,270
494.9193737,1651.485862,270
499.7198081,1658.624327,270
504.5202424,1665.762793,270
509.3206768,1672.901258,270
514.1211111,1680.039723,270
518.9215455,1687.178188,270
523.7219798,1694.316653,270
528.5224141,1701.455119,270
533.3228485,1708.593584,270
538.1232828,1715.732049,270
542.9237172,1722.870514,270
547.7241515,1730.008979,270
552.5245859,1737.147445,270
557.3250202,1744.28591,270
562.1254545,1751.424375,270
566.9258889,1758.56284,270
571.7263232,1765.701305,270
576.5267576,1772.839771,270
581.3271919,1779.978236,270
586.1276263,1787.116701,270
590.9280606,1794.255166,270
595.7284949,1801.393632,270
600.5289293,1808.532097,270
605.3293636,1815.670562,270
610.129798,1822.809027,270
614.9302323,1829.947492,270
619.7306667,1837.085958,270
624.531101,1844.224423,270
629.3315354,1851.362888,270
634.1319697,1858.501353,270
638.932404,1865.639818,270
643.7328384,1872.778284,270
648.5332727,1879.916749,270
653.3337071,1887.055214,270
658.1341414,1894.193679,270
662.9345758,1901.332144,270
667.7350101,1908.47061,270
672.5354444,1915.609075,270
677.3358788,1922.74754,270
682.1363131,1929.886005,270
686.9367475,1937.024471,270
691.7371818,1944.162936,270
696.5376162,1951.301401,270
701.3380505,1958.439866,270
706.1384848,1965.578331,270
710.9389192,1972.716797,270
715.7393535,1979.855262,270
720.5397879,1986.993727,270
725.3402222,1994.132192,270
730.1406566,2001.270657,270
734.9410909,2008.409123,270
739.7415253,2015.547588,270
744.5419596,2022.686053,270
749.3423939,2029.824518,270
754.1428283,2036.962984,270
758.9432626,2044.101449,270
763.743697,2051.239914,270
768.5441313,2058.378379,270
773.3445657,2065.516844,270
778.145,2072.65531,270
302.902,1373.635151,342.7626
307.7024343,1381.71792,342.7626
312.5028687,1389.800689,342.7626
317.303303,1397.883458,342.7626
322.1037374,1405.966227,342.7626
326.9041717,1414.048996,342.7626
331.7046061,1422.131765,342.7626
336.5050404,1430.214534,342.7626
341.3054747,1438.297303,342.7626
346.1059091,1446.380072,342.7626
350.9063434,1454.462841,342.7626
355.7067778,1462.54561,342.7626
360.5072121,1470.628379,342.7626
365.3076465,1478.711148,342.7626
370.1080808,1486.793917,342.7626
374.9085152,1494.876687,342.7626
379.7089495,1502.959456,342.7626
384.5093838,1511.042225,342.7626
389.3098182,1519.124994,342.7626
394.1102525,1527.207763,342.7626
398.9106869,1535.290532,342.7626
403.7111212,1543.373301,342.7626
408.5115556,1551.45607,342.7626
413.3119899,1559.538839,342.7626
418.1124242,1567.621608,342.7626
422.9128586,1575.704377,342.7626
427.7132929,1583.787146,342.7626
432.5137273,1591.869915,342.7626
437.3141616,1599.952684,342.7626
442.114596,1608.035453,342.7626
446.9150303,1616.118222,342.7626
451.7154646,1624.200991,342.7626
456.515899,1632.28376,342.7626
461.3163333,1640.366529,342.7626
466.1167677,1648.449299,342.7626
470.917202,1656.532068,342.7626
475.7176364,1664.614837,342.7626
480.5180707,1672.697606,342.7626
485.3185051,1680.780375,342.7626
490.1189394,1688.863144,342.7626
494.9193737,1696.945913,342.7626
499.7198081,1705.028682,342.7626
504.5202424,1713.111451,342.7626
509.3206768,1721.19422,342.7626
514.1211111,1729.276989,342.7626
518.9215455,1737.359758,342.7626
