P,Predicted_GPP,CO2
794.0280909,1102.48457,383.71195
799.5825152,1107.43543,383.71195
805.1369394,1112.38628,383.71195
810.6913636,1117.33713,383.71195
816.2457879,1122.28798,383.71195
821.8002121,1127.23883,383.71195
827.3546364,1132.18969,383.71195
832.9090606,1137.14054,383.71195
838.4634848,1142.09139,383.71195
844.0179091,1147.04224,383.71195
849.5723333,1151.99309,383.71195
855.1267576,1156.94395,383.71195
860.6811818,1161.8948,383.71195
866.2356061,1166.84565,383.71195
871.7900303,1171.7965,383.71195
877.3444545,1176.74735,383.71195
882.8988788,1181.69821,383.71195
888.453303,1186.64906,383.71195
894.0077273,1191.59991,383.71195
899.5621515,1196.55076,383.71195
905.1165758,1201.50162,383.71195
910.671,1206.45247,383.71195
360.783,931.64495,402.829
366.3374242,934.30456,402.829
371.8918485,936.96417,402.829
377.4462727,939.62377,402.829
383.000697,942.28338,402.829
388.5551212,944.94299,402.829
394.1095455,947.60259,402.829
399.6639697,950.2622,402.829
405.2183939,952.92181,402.829
410.7728182,955.58141,402.829
416.3272424,958.24102,402.829
421.8816667,960.90063,402.829
427.4360909,963.56023,402.829
432.9905152,966.21984,402.829
438.5449394,968.87945,402.829
444.0993636,971.53905,402.829
449.6537879,974.19866,402.829
455.2082121,976.85826,402.829
460.7626364,979.51787,402.829
466.3170606,982.17748,402.829
471.8714848,984.83708,402.829
477.4259091,987.49669,402.829
482.9803333,990.1563,402.829
488.5347576,992.8159,402.829
494.0891818,995.47551,402.829
499.6436061,998.13512,402.829
505.1980303,1000.79472,402.829
510.7524545,1003.45433,402.829
516.3068788,1006.11394,402.829
521.861303,1008.77354,402.829
527.4157273,1011.43315,402.829
532.9701515,1014.09276,402.829
538.5245758,1016.75236,402.829
544.079,1019.41197,402.829
549.6334242,1022.07158,402.829
555.1878485,1024.73118,402.829
560.7422727,1027.39079,402.829
566.296697,1030.0504,402.829
571.8511212,1032.71,402.829
577.4055455,1035.36961,402.829
582.9599697,1038.02922,402.829
588.5143939,1040.68882,402.829
594.0688182,1043.34843,402.829
599.6232424,1046.00804,402.829
605.1776667,1048.66764,402.829
610.7320909,1051.32725,402.829
616.2865152,1053.98685,402.829
621.8409394,1056.64646,402.829
627.3953636,1059.30607,402.829
632.9497879,1061.96567,402.829
638.5042121,1064.62528,402.829
644.0586364,1067.28489,402.829
649.6130606,1069.94449,402.829
655.1674848,1072.6041,402.829
660.7219091,1075.26371,402.829
666.2763333,1077.92331,402.829
671.8307576,1080.58292,402.829
677.3851818,1083.24253,402.829
682.9396061,1085.90213,402.829
688.4940303,1088.56174,402.829
694.0484545,1091.22135,402.829
699.6028788,1093.88095,402.829
705.157303,1096.54056,402.829
710.7117273,1099.20017,402.829
716.2661515,1101.85977,402.829
721.8205758,1104.51938,402.829
727.375,1107.17899,402.829
732.9294242,1109.83859,402.829
738.4838485,1112.4982,402.829
744.0382727,1115.15781,402.829
749.592697,1117.81741,402.829
755.1471212,1120.47702,402.829
760.7015455,1123.13663,402.829
766.2559697,1125.79623,402.829
771.8103939,1128.45584,402.829
777.3648182,1131.11545,402.829
782.9192424,1133.77505,402.829
788.4736667,1136.43466,402.829
794.0280909,1139.09426,402.829
799.5825152,1141.75387,402.829
805.1369394,1144.41348,402.829
810.6913636,1147.07308,402.829
816.2457879,1149.73269,402.829
821.8002121,1152.3923,402.829
827.3546364,1155.0519,402.829
832.9090606,1157.71151,402.829
838.4634848,1160.37112,402.829
844.0179091,1163.03072,402.829
849.5723333,1165.69033,402.829
855.1267576,1168.34994,402.829
860.6811818,1171.00954,402.829
866.2356061,1173.66915,402.829
871.7900303,1176.32876,402.829
877.3444545,1178.98836,402.829
882.8988788,1181.64797,402.829
888.453303,1184.30758,402.829
894.0077273,1186.96718,402.829
899.5621515,1189.62679,402.829
905.1165758,1192.2864,402.829
910.671,1194.946,402.829
