T,Predicted_GPP,CO2
-0.272,621.3745656,369
-0.239515152,624.6529859,369
-0.207030303,627.9314062,369
-0.174545455,631.2098265,369
-0.142060606,634.4882468,369
-0.109575758,637.7666671,369
-0.077090909,641.0450874,369
-0.044606061,644.3235078,369
-0.012121212,647.6019281,369
0.020363636,650.8803484,369
0.052848485,654.1587687,369
0.085333333,657.437189,369
0.117818182,660.7156093,369
0.15030303,663.9940296,369
0.182787879,667.2724499,369
0.215272727,670.5508702,369
0.247757576,673.8292905,369
0.280242424,677.1077108,369
0.312727273,680.3861311,369
0.345212121,683.6645514,369
0.37769697,686.9429718,369
0.410181818,690.2213921,369
0.442666667,693.4998124,369
0.475151515,696.7782327,369
0.507636364,700.056653,369
0.540121212,703.3350733,369
0.572606061,706.6134936,369
0.605090909,709.8919139,369
0.637575758,713.1703342,369
0.670060606,716.4487545,369
0.702545455,719.7271748,369
0.735030303,723.0055951,369
0.767515152,726.2840154,369
0.8,729.5624358,369
0.832484848,732.8408561,369
0.864969697,736.1192764,369
0.897454545,739.3976967,369
0.929939394,742.676117,369
0.962424242,745.9545373,369
0.994909091,749.2329576,369
1.027393939,752.5113779,369
1.059878788,755.7897982,369
1.092363636,759.0682185,369
1.124848485,762.3466388,369
1.157333333,765.6250591,369
1.189818182,768.9034795,369
1.22230303,772.1818998,369
1.254787879,775.4603201,369
1.287272727,778.7387404,369
1.319757576,782.0171607,369
1.352242424,785.295581,369
1.384727273,788.5740013,369
1.417212121,791.8524216,369
1.44969697,795.1308419,369
1.482181818,798.4092622,369
1.514666667,801.6876825,369
1.547151515,804.9661028,369
1.579636364,808.2445231,369
1.612121212,811.5229435,369
1.644606061,814.8013638,369
1.677090909,818.0797841,369
1.709575758,821.3582044,369
1.742060606,824.6366247,369
1.774545455,827.915045,369
1.807030303,831.1934653,369
1.839515152,834.4718856,369
1.872,837.7503059,369
1.904484848,841.0287262,369
1.936969697,844.3071465,369
1.969454545,847.5855668,369
2.001939394,850.8639871,369
2.034424242,854.1424075,369
2.066909091,857.4208278,369
2.099393939,860.6992481,369
2.131878788,863.9776684,369
2.164363636,867.2560887,369
2.196848485,870.534509,369
2.229333333,873.8129293,369
2.261818182,877.0913496,369
2.29430303,880.3697699,369
2.326787879,883.6481902,369
2.359272727,886.9266105,369
2.391757576,890.2050308,369
2.424242424,893.4834512,369
2.456727273,896.7618715,369
2.489212121,900.0402918,369
2.52169697,903.3187121,369
2.554181818,906.5971324,369
2.586666667,909.8755527,369
2.619151515,913.153973,369
2.651636364,916.4323933,369
2.684121212,919.7108136,369
2.716606061,922.9892339,369
2.749090909,926.2676542,369
2.781575758,929.5460745,369
2.814060606,932.8244948,369
2.846545455,936.1029152,369
2.879030303,939.3813355,369
2.911515152,942.6597558,369
2.944,945.9381761,369
-0.272,884.911832,380.1406429
