SW,Predicted_GPP,CO2
157.075,1709.645434,376.475
157.2785556,1709.87665,376.475
157.4821111,1710.107865,376.475
157.6856667,1710.339081,376.475
157.8892222,1710.570296,376.475
158.0927778,1710.801512,376.475
158.2963333,1711.032728,376.475
158.4998889,1711.263943,376.475
158.7034444,1711.495159,376.475
158.907,1711.726374,376.475
159.1105556,1711.95759,376.475
159.3141111,1712.188805,376.475
159.5176667,1712.420021,376.475
159.7212222,1712.651236,376.475
159.9247778,1712.882452,376.475
160.1283333,1713.113667,376.475
160.3318889,1713.344883,376.475
160.5354444,1713.576098,376.475
160.739,1713.807314,376.475
160.9425556,1714.038529,376.475
161.1461111,1714.269745,376.475
161.3496667,1714.50096,376.475
161.5532222,1714.732176,376.475
161.7567778,1714.963392,376.475
161.9603333,1715.194607,376.475
162.1638889,1715.425823,376.475
162.3674444,1715.657038,376.475
162.571,1715.888254,376.475
162.7745556,1716.119469,376.475
162.9781111,1716.350685,376.475
163.1816667,1716.5819,376.475
163.3852222,1716.813116,376.475
163.5887778,1717.044331,376.475
163.7923333,1717.275547,376.475
163.9958889,1717.506762,376.475
164.1994444,1717.737978,376.475
164.403,1717.969193,376.475
164.6065556,1718.200409,376.475
164.8101111,1718.431625,376.475
165.0136667,1718.66284,376.475
165.2172222,1718.894056,376.475
165.4207778,1719.125271,376.475
165.6243333,1719.356487,376.475
165.8278889,1719.587702,376.475
166.0314444,1719.818918,376.475
166.235,1720.050133,376.475
166.4385556,1720.281349,376.475
166.6421111,1720.512564,376.475
166.8456667,1720.74378,376.475
167.0492222,1720.974995,376.475
167.2527778,1721.206211,376.475
167.4563333,1721.437426,376.475
167.6598889,1721.668642,376.475
167.8634444,1721.899858,376.475
168.067,1722.131073,376.475
168.2705556,1722.362289,376.475
168.4741111,1722.593504,376.475
168.6776667,1722.82472,376.475
168.8812222,1723.055935,376.475
169.0847778,1723.287151,376.475
169.2883333,1723.518366,376.475
169.4918889,1723.749582,376.475
169.6954444,1723.980797,376.475
169.899,1724.212013,376.475
170.1025556,1724.443228,376.475
170.3061111,1724.674444,376.475
170.5096667,1724.905659,376.475
170.7132222,1725.136875,376.475
170.9167778,1725.368091,376.475
171.1203333,1725.599306,376.475
171.3238889,1725.830522,376.475
171.5274444,1726.061737,376.475
171.731,1726.292953,376.475
171.9345556,1726.524168,376.475
172.1381111,1726.755384,376.475
172.3416667,1726.986599,376.475
172.5452222,1727.217815,376.475
172.7487778,1727.44903,376.475
172.9523333,1727.680246,376.475
173.1558889,1727.911461,376.475
173.3594444,1728.142677,376.475
173.563,1728.373892,376.475
173.7665556,1728.605108,376.475
173.9701111,1728.836323,376.475
174.1736667,1729.067539,376.475
174.3772222,1729.298755,376.475
174.5807778,1729.52997,376.475
174.7843333,1729.761186,376.475
174.9878889,1729.992401,376.475
175.1914444,1730.223617,376.475
175.395,1730.454832,376.475
175.5985556,1730.686048,376.475
175.8021111,1730.917263,376.475
176.0056667,1731.148479,376.475
176.2092222,1731.379694,376.475
176.4127778,1731.61091,376.475
176.6163333,1731.842125,376.475
176.8198889,1732.073341,376.475
177.0234444,1732.304556,376.475
177.227,1732.535772,376.475
157.075,1646.944749,400.9700909
157.2785556,1647.98684,400.9700909
157.4821111,1649.028931,400.9700909
157.6856667,1650.071022,400.9700909
157.8892222,1651.113112,400.9700909
158.0927778,1652.155203,400.9700909
158.2963333,1653.197294,400.9700909
158.4998889,1654.239385,400.9700909
158.7034444,1655.281476,400.9700909
158.907,1656.323566,400.9700909
159.1105556,1657.365657,400.9700909
159.3141111,1658.407748,400.9700909
159.5176667,1659.449839,400.9700909
159.7212222,1660.491929,400.9700909
159.9247778,1661.53402,400.9700909
160.1283333,1662.576111,400.9700909
160.3318889,1663.618202,400.9700909
160.5354444,1664.660292,400.9700909
160.739,1665.702383,400.9700909
160.9425556,1666.744474,400.9700909
161.1461111,1667.786565,400.9700909
161.3496667,1668.828655,400.9700909
161.5532222,1669.870746,400.9700909
161.7567778,1670.912837,400.9700909
161.9603333,1671.954928,400.9700909
162.1638889,1672.997018,400.9700909
162.3674444,1674.039109,400.9700909
162.571,1675.0812,400.9700909
162.7745556,1676.123291,400.9700909
162.9781111,1677.165382,400.9700909
163.1816667,1678.207472,400.9700909
163.3852222,1679.249563,400.9700909
163.5887778,1680.291654,400.9700909
163.7923333,1681.333745,400.9700909
163.9958889,1682.375835,400.9700909
164.1994444,1683.417926,400.9700909
164.403,1684.460017,400.9700909
164.6065556,1685.502108,400.9700909
164.8101111,1686.544198,400.9700909
165.0136667,1687.586289,400.9700909
165.2172222,1688.62838,400.9700909
165.4207778,1689.670471,400.9700909
165.6243333,1690.712561,400.9700909
165.8278889,1691.754652,400.9700909
166.0314444,1692.796743,400.9700909
166.235,1693.838834,400.9700909
166.4385556,1694.880924,400.9700909
166.6421111,1695.923015,400.9700909
166.8456667,1696.965106,400.9700909
167.0492222,1698.007197,400.9700909
167.2527778,1699.049287,400.9700909
167.4563333,1700.091378,400.9700909
167.6598889,1701.133469,400.9700909
167.8634444,1702.17556,400.9700909
168.067,1703.217651,400.9700909
168.2705556,1704.259741,400.9700909
168.4741111,1705.301832,400.9700909
168.6776667,1706.343923,400.9700909
168.8812222,1707.386014,400.9700909
169.0847778,1708.428104,400.9700909
169.2883333,1709.470195,400.9700909
169.4918889,1710.512286,400.9700909
169.6954444,1711.554377,400.9700909
169.899,1712.596467,400.9700909
170.1025556,1713.638558,400.9700909
170.3061111,1714.680649,400.9700909
170.5096667,1715.72274,400.9700909
170.7132222,1716.76483,400.9700909
170.9167778,1717.806921,400.9700909
171.1203333,1718.849012,400.9700909
171.3238889,1719.891103,400.9700909
171.5274444,1720.933193,400.9700909
171.731,1721.975284,400.9700909
171.9345556,1723.017375,400.9700909
172.1381111,1724.059466,400.9700909
172.3416667,1725.101556,400.9700909
172.5452222,1726.143647,400.9700909
172.7487778,1727.185738,400.9700909
172.9523333,1728.227829,400.9700909
173.1558889,1729.26992,400.9700909
173.3594444,1730.31201,400.9700909
173.563,1731.354101,400.9700909
173.7665556,1732.396192,400.9700909
173.9701111,1733.438283,400.9700909
174.1736667,1734.480373,400.9700909
174.3772222,1735.522464,400.9700909
174.5807778,1736.564555,400.9700909
174.7843333,1737.606646,400.9700909
174.9878889,1738.648736,400.9700909
175.1914444,1739.690827,400.9700909
175.395,1740.732918,400.9700909
175.5985556,1741.775009,400.9700909
175.8021111,1742.817099,400.9700909
176.0056667,1743.85919,400.9700909
176.2092222,1744.901281,400.9700909
176.4127778,1745.943372,400.9700909
176.6163333,1746.985462,400.9700909
176.8198889,1748.027553,400.9700909
177.0234444,1749.069644,400.9700909
177.227,1817.54778,400.9700909
157.075,1818.28485,421.483
157.2785556,1819.02193,421.483
157.4821111,1819.759,421.483
157.6856667,1820.49608,421.483
157.8892222,1821.23316,421.483
158.0927778,1821.97023,421.483
158.2963333,1822.70731,421.483
158.4998889,1823.44438,421.483
158.7034444,1824.18146,421.483
158.907,1824.91853,421.483
159.1105556,1825.65561,421.483
159.3141111,1826.39268,421.483
159.5176667,1827.12976,421.483
159.7212222,1827.86683,421.483
159.9247778,1828.60391,421.483
160.1283333,1829.34098,421.483
160.3318889,1830.07806,421.483
160.5354444,1830.81513,421.483
160.739,1831.55221,421.483
160.9425556,1832.28929,421.483
161.1461111,1833.02636,421.483
161.3496667,1833.76344,421.483
161.5532222,1834.50051,421.483
161.7567778,1835.23759,421.483
161.9603333,1835.97466,421.483
162.1638889,1836.71174,421.483
162.3674444,1837.44881,421.483
162.571,1838.18589,421.483
162.7745556,1838.92296,421.483
162.9781111,1839.66004,421.483
