P,Predicted_GPP,CO2
504.39,1339.784804,380.965
513.4840808,1351.439281,380.965
522.5781616,1363.093757,380.965
531.6722424,1374.748234,380.965
540.7663232,1386.40271,380.965
549.860404,1398.057187,380.965
558.9544848,1409.711664,380.965
568.0485657,1421.36614,380.965
577.1426465,1433.020617,380.965
586.2367273,1444.675093,380.965
595.3308081,1456.32957,380.965
604.4248889,1467.984047,380.965
613.5189697,1479.638523,380.965
622.6130505,1491.293,380.965
631.7071313,1502.947476,380.965
640.8012121,1514.601953,380.965
649.8952929,1526.256429,380.965
658.9893737,1537.910906,380.965
668.0834545,1549.565383,380.965
677.1775354,1561.219859,380.965
686.2716162,1572.874336,380.965
695.365697,1584.528812,380.965
704.4597778,1596.183289,380.965
713.5538586,1607.837765,380.965
722.6479394,1619.492242,380.965
731.7420202,1631.146719,380.965
740.836101,1642.801195,380.965
749.9301818,1654.455672,380.965
759.0242626,1666.110148,380.965
768.1183434,1677.764625,380.965
777.2124242,1689.419101,380.965
786.3065051,1701.073578,380.965
795.4005859,1712.728055,380.965
804.4946667,1724.382531,380.965
813.5887475,1736.037008,380.965
822.6828283,1747.691484,380.965
831.7769091,1759.345961,380.965
840.8709899,1771.000438,380.965
849.9650707,1782.654914,380.965
859.0591515,1794.309391,380.965
868.1532323,1805.963867,380.965
877.2473131,1817.618344,380.965
886.3413939,1829.27282,380.965
895.4354747,1840.927297,380.965
904.5295556,1852.581774,380.965
913.6236364,1864.23625,380.965
922.7177172,1875.890727,380.965
931.811798,1887.545203,380.965
940.9058788,1899.19968,380.965
949.9999596,1910.854156,380.965
959.0940404,1922.508633,380.965
968.1881212,1934.16311,380.965
977.282202,1945.817586,380.965
986.3762828,1957.472063,380.965
995.4703636,1969.126539,380.965
1004.564444,1980.781016,380.965
1013.658525,1992.435492,380.965
1022.752606,2004.089969,380.965
1031.846687,2015.744446,380.965
1040.940768,2027.398922,380.965
1050.034848,2039.053399,380.965
1059.128929,2050.707875,380.965
1068.22301,2062.362352,380.965
1077.317091,2074.016829,380.965
1086.411172,2085.671305,380.965
1095.505253,2097.325782,380.965
1104.599333,2108.980258,380.965
1113.693414,2120.634735,380.965
1122.787495,2132.289211,380.965
1131.881576,2143.943688,380.965
1140.975657,2155.598165,380.965
1150.069737,2167.252641,380.965
1159.163818,2178.907118,380.965
1168.257899,2190.561594,380.965
1177.35198,2202.216071,380.965
1186.446061,2213.870547,380.965
1195.540141,2225.525024,380.965
1204.634222,2237.179501,380.965
1213.728303,2248.833977,380.965
1222.822384,2260.488454,380.965
1231.916465,2272.14293,380.965
1241.010545,2283.797407,380.965
1250.104626,2295.451883,380.965
1259.198707,2307.10636,380.965
1268.292788,2318.760837,380.965
1277.386869,2330.415313,380.965
1286.480949,2342.06979,380.965
1295.57503,2353.724266,380.965
1304.669111,2365.378743,380.965
1313.763192,2377.03322,380.965
1322.857273,2388.687696,380.965
1331.951354,2400.342173,380.965
1341.045434,2411.996649,380.965
1350.139515,2423.651126,380.965
1359.233596,2435.305602,380.965
1368.327677,2446.960079,380.965
1377.421758,2458.614556,380.965
1386.515838,2470.269032,380.965
1395.609919,2481.923509,380.965
1404.704,2493.577985,380.965
504.39,869.854017,401.2514286
513.4840808,886.6396388,401.2514286
522.5781616,903.4252607,401.2514286
531.6722424,920.2108825,401.2514286
540.7663232,936.9965044,401.2514286
549.860404,953.7821262,401.2514286
558.9544848,970.5677481,401.2514286
568.0485657,987.3533699,401.2514286
577.1426465,1004.138992,401.2514286
586.2367273,1020.924614,401.2514286
595.3308081,1037.710235,401.2514286
604.4248889,1054.495857,401.2514286
613.5189697,1071.281479,401.2514286
622.6130505,1088.067101,401.2514286
631.7071313,1104.852723,401.2514286
640.8012121,1121.638345,401.2514286
649.8952929,1138.423967,401.2514286
658.9893737,1155.209588,401.2514286
668.0834545,1171.99521,401.2514286
677.1775354,1188.780832,401.2514286
686.2716162,1205.566454,401.2514286
695.365697,1222.352076,401.2514286
704.4597778,1239.137698,401.2514286
713.5538586,1255.92332,401.2514286
722.6479394,1272.708941,401.2514286
731.7420202,1289.494563,401.2514286
740.836101,1306.280185,401.2514286
749.9301818,1323.065807,401.2514286
759.0242626,1339.851429,401.2514286
768.1183434,1356.637051,401.2514286
777.2124242,1373.422673,401.2514286
786.3065051,1390.208294,401.2514286
795.4005859,1406.993916,401.2514286
804.4946667,1423.779538,401.2514286
813.5887475,1440.56516,401.2514286
822.6828283,1457.350782,401.2514286
831.7769091,1474.136404,401.2514286
840.8709899,1490.922026,401.2514286
849.9650707,1507.707647,401.2514286
859.0591515,1524.493269,401.2514286
868.1532323,1541.278891,401.2514286
877.2473131,1558.064513,401.2514286
886.3413939,1574.850135,401.2514286
895.4354747,1591.635757,401.2514286
904.5295556,1608.421379,401.2514286
913.6236364,1625.207,401.2514286
922.7177172,1641.992622,401.2514286
931.811798,1658.778244,401.2514286
940.9058788,1675.563866,401.2514286
949.9999596,1692.349488,401.2514286
959.0940404,1709.13511,401.2514286
968.1881212,1725.920732,401.2514286
977.282202,1742.706353,401.2514286
986.3762828,1759.491975,401.2514286
995.4703636,1776.277597,401.2514286
1004.564444,1793.063219,401.2514286
1013.658525,1809.848841,401.2514286
1022.752606,1826.634463,401.2514286
1031.846687,1843.420084,401.2514286
1040.940768,1860.205706,401.2514286
1050.034848,1876.991328,401.2514286
1059.128929,1893.77695,401.2514286
1068.22301,1910.562572,401.2514286
1077.317091,1927.348194,401.2514286
1086.411172,1944.133816,401.2514286
1095.505253,1960.919437,401.2514286
1104.599333,1977.705059,401.2514286
1113.693414,1994.490681,401.2514286
1122.787495,2011.276303,401.2514286
1131.881576,2028.061925,401.2514286
1140.975657,2044.847547,401.2514286
1150.069737,2061.633169,401.2514286
1159.163818,2078.41879,401.2514286
1168.257899,2095.204412,401.2514286
1177.35198,2111.990034,401.2514286
1186.446061,2128.775656,401.2514286
1195.540141,2145.561278,401.2514286
1204.634222,2162.3469,401.2514286
1213.728303,2179.132522,401.2514286
1222.822384,2195.918143,401.2514286
1231.916465,2212.703765,401.2514286
1241.010545,2229.489387,401.2514286
1250.104626,2246.275009,401.2514286
1259.198707,2263.060631,401.2514286
1268.292788,2279.846253,401.2514286
1277.386869,2296.631875,401.2514286
1286.480949,2313.417496,401.2514286
1295.57503,2330.203118,401.2514286
1304.669111,2346.98874,401.2514286
1313.763192,2363.774362,401.2514286
1322.857273,2380.559984,401.2514286
1331.951354,2397.345606,401.2514286
1341.045434,2414.131228,401.2514286
1350.139515,2430.916849,401.2514286
1359.233596,2447.702471,401.2514286
1368.327677,2464.488093,401.2514286
1377.421758,2481.273715,401.2514286
1386.515838,2498.059337,401.2514286
1395.609919,2514.844959,401.2514286
1404.704,2531.630581,401.2514286
504.39,2031.122634,420.654
513.4840808,2037.412224,420.654
522.5781616,2043.701813,420.654
531.6722424,2049.991402,420.654
540.7663232,2056.280991,420.654
549.860404,2062.57058,420.654
558.9544848,2068.860169,420.654
568.0485657,2075.149758,420.654
577.1426465,2081.439347,420.654
586.2367273,2087.728937,420.654
595.3308081,2094.018526,420.654
604.4248889,2100.308115,420.654
613.5189697,2106.597704,420.654
622.6130505,2112.887293,420.654
631.7071313,2119.176882,420.654
640.8012121,2125.466471,420.654
649.8952929,2131.75606,420.654
658.9893737,2138.045649,420.654
668.0834545,2144.335239,420.654
677.1775354,2150.624828,420.654
686.2716162,2156.914417,420.654
695.365697,2163.204006,420.654
704.4597778,2169.493595,420.654
713.5538586,2175.783184,420.654
722.6479394,2182.072773,420.654
731.7420202,2188.362362,420.654
740.836101,2194.651952,420.654
749.9301818,2200.941541,420.654
759.0242626,2207.23113,420.654
768.1183434,2213.520719,420.654
777.2124242,2219.810308,420.654
786.3065051,2226.099897,420.654
795.4005859,2232.389486,420.654
804.4946667,2238.679075,420.654
813.5887475,2244.968664,420.654
822.6828283,2251.258254,420.654
831.7769091,2257.547843,420.654
840.8709899,2263.837432,420.654
849.9650707,2270.127021,420.654
859.0591515,2276.41661,420.654
868.1532323,2282.706199,420.654
877.2473131,2288.995788,420.654
886.3413939,2295.285377,420.654
895.4354747,2301.574967,420.654
904.5295556,2307.864556,420.654
913.6236364,2314.154145,420.654
922.7177172,2320.443734,420.654
931.811798,2326.733323,420.654
940.9058788,2333.022912,420.654
949.9999596,2339.312501,420.654
959.0940404,2345.60209,420.654
968.1881212,2351.891679,420.654
977.282202,2358.181269,420.654
986.3762828,2364.470858,420.654
995.4703636,2370.760447,420.654
1004.564444,2377.050036,420.654
1013.658525,2383.339625,420.654
1022.752606,2389.629214,420.654
1031.846687,2395.918803,420.654
1040.940768,2402.208392,420.654
1050.034848,2408.497981,420.654
1059.128929,2414.787571,420.654
1068.22301,2421.07716,420.654
1077.317091,2427.366749,420.654
1086.411172,2433.656338,420.654
1095.505253,2439.945927,420.654
1104.599333,2446.235516,420.654
1113.693414,2452.525105,420.654
1122.787495,2458.814694,420.654
1131.881576,2465.104284,420.654
1140.975657,2471.393873,420.654
1150.069737,2477.683462,420.654
1159.163818,2483.973051,420.654
1168.257899,2490.26264,420.654
1177.35198,2496.552229,420.654
1186.446061,2502.841818,420.654
1195.540141,2509.131407,420.654
1204.634222,2515.420996,420.654
1213.728303,2521.710586,420.654
1222.822384,2528.000175,420.654
1231.916465,2534.289764,420.654
1241.010545,2540.579353,420.654
1250.104626,2546.868942,420.654
1259.198707,2553.158531,420.654
1268.292788,2559.44812,420.654
1277.386869,2565.737709,420.654
1286.480949,2572.027299,420.654
1295.57503,2578.316888,420.654
1304.669111,2584.606477,420.654
1313.763192,2590.896066,420.654
1322.857273,2597.185655,420.654
1331.951354,2603.475244,420.654
1341.045434,2609.764833,420.654
1350.139515,2616.054422,420.654
1359.233596,2622.344011,420.654
1368.327677,2628.633601,420.654
1377.421758,2634.92319,420.654
1386.515838,2641.212779,420.654
1395.609919,2647.502368,420.654
1404.704,2653.791957,420.654
