T,Predicted_GPP,CO2
7.401,782.7891145,390
7.429656566,789.6775175,390
7.458313131,796.5659206,390
7.486969697,803.4543237,390
7.515626263,810.3427268,390
7.544282828,817.2311299,390
7.572939394,824.1195329,390
7.60159596,831.007936,390
7.630252525,837.8963391,390
7.658909091,844.7847422,390
7.687565657,851.6731452,390
7.716222222,858.5615483,390
7.744878788,865.4499514,390
7.773535354,872.3383545,390
7.802191919,879.2267575,390
7.830848485,886.1151606,390
7.859505051,893.0035637,390
7.888161616,899.8919668,390
7.916818182,906.7803699,390
7.945474747,913.6687729,390
7.974131313,920.557176,390
8.002787879,927.4455791,390
8.031444444,934.3339822,390
8.06010101,941.2223852,390
8.088757576,948.1107883,390
8.117414141,954.9991914,390
8.146070707,961.8875945,390
8.174727273,968.7759976,390
8.203383838,975.6644006,390
8.232040404,982.5528037,390
8.26069697,989.4412068,390
8.289353535,996.3296099,390
8.318010101,1003.218013,390
8.346666667,1010.106416,390
8.375323232,1016.994819,390
8.403979798,1023.883222,390
8.432636364,1030.771625,390
8.461292929,1037.660028,390
8.489949495,1044.548431,390
8.518606061,1051.436834,390
8.547262626,1058.325238,390
8.575919192,1065.213641,390
8.604575758,1072.102044,390
8.633232323,1078.990447,390
8.661888889,1085.87885,390
8.690545455,1092.767253,390
8.71920202,1099.655656,390
8.747858586,1106.544059,390
8.776515152,1113.432462,390
8.805171717,1120.320865,390
8.833828283,1127.209268,390
8.862484848,1134.097671,390
8.891141414,1140.986074,390
8.91979798,1147.874478,390
8.948454545,1154.762881,390
8.977111111,1161.651284,390
9.005767677,1168.539687,390
9.034424242,1175.42809,390
9.063080808,1182.316493,390
9.091737374,1189.204896,390
9.120393939,1196.093299,390
9.149050505,1202.981702,390
9.177707071,1209.870105,390
9.206363636,1216.758508,390
9.235020202,1223.646911,390
9.263676768,1230.535314,390
9.292333333,1237.423718,390
9.320989899,1244.312121,390
9.349646465,1251.200524,390
9.37830303,1258.088927,390
9.406959596,1264.97733,390
9.435616162,1271.865733,390
9.464272727,1278.754136,390
9.492929293,1285.642539,390
9.521585859,1292.530942,390
9.550242424,1299.419345,390
9.57889899,1306.307748,390
9.607555556,1313.196151,390
9.636212121,1320.084554,390
9.664868687,1326.972958,390
9.693525253,1333.861361,390
9.722181818,1340.749764,390
9.750838384,1347.638167,390
9.779494949,1354.52657,390
9.808151515,1361.414973,390
9.836808081,1368.303376,390
9.865464646,1375.191779,390
9.894121212,1382.080182,390
9.922777778,1388.968585,390
9.951434343,1395.856988,390
9.980090909,1402.745391,390
10.00874747,1409.633794,390
10.03740404,1416.522198,390
10.06606061,1423.410601,390
10.09471717,1430.299004,390
10.12337374,1437.187407,390
10.1520303,1444.07581,390
10.18068687,1450.964213,390
10.20934343,1457.852616,390
10.238,1464.741019,390
7.401,953.3723131,399.8868462
7.429656566,959.0983724,399.8868462
7.458313131,964.8244317,399.8868462
7.486969697,970.5504911,399.8868462
7.515626263,976.2765504,399.8868462
7.544282828,982.0026097,399.8868462
7.572939394,987.728669,399.8868462
7.60159596,993.4547283,399.8868462
7.630252525,999.1807876,399.8868462
7.658909091,1004.906847,399.8868462
7.687565657,1010.632906,399.8868462
7.716222222,1016.358965,399.8868462
7.744878788,1022.085025,399.8868462
7.773535354,1027.811084,399.8868462
7.802191919,1033.537143,399.8868462
7.830848485,1039.263203,399.8868462
7.859505051,1044.989262,399.8868462
7.888161616,1050.715321,399.8868462
7.916818182,1056.441381,399.8868462
7.945474747,1062.16744,399.8868462
7.974131313,1067.893499,399.8868462
8.002787879,1073.619559,399.8868462
8.031444444,1079.345618,399.8868462
8.06010101,1085.071677,399.8868462
8.088757576,1090.797736,399.8868462
8.117414141,1096.523796,399.8868462
8.146070707,1102.249855,399.8868462
8.174727273,1107.975914,399.8868462
8.203383838,1113.701974,399.8868462
8.232040404,1119.428033,399.8868462
8.26069697,1125.154092,399.8868462
8.289353535,1130.880152,399.8868462
8.318010101,1136.606211,399.8868462
8.346666667,1142.33227,399.8868462
8.375323232,1148.058329,399.8868462
8.403979798,1153.784389,399.8868462
8.432636364,1159.510448,399.8868462
8.461292929,1165.236507,399.8868462
8.489949495,1170.962567,399.8868462
8.518606061,1176.688626,399.8868462
8.547262626,1182.414685,399.8868462
8.575919192,1188.140745,399.8868462
8.604575758,1193.866804,399.8868462
8.633232323,1199.592863,399.8868462
8.661888889,1205.318923,399.8868462
8.690545455,1211.044982,399.8868462
8.71920202,1216.771041,399.8868462
8.747858586,1222.4971,399.8868462
8.776515152,1228.22316,399.8868462
8.805171717,1233.949219,399.8868462
8.833828283,1239.675278,399.8868462
8.862484848,1245.401338,399.8868462
8.891141414,1251.127397,399.8868462
8.91979798,1256.853456,399.8868462
8.948454545,1262.579516,399.8868462
8.977111111,1268.305575,399.8868462
9.005767677,1274.031634,399.8868462
9.034424242,1279.757694,399.8868462
9.063080808,1285.483753,399.8868462
9.091737374,1291.209812,399.8868462
9.120393939,1296.935871,399.8868462
9.149050505,1302.661931,399.8868462
9.177707071,1308.38799,399.8868462
9.206363636,1314.114049,399.8868462
9.235020202,1319.840109,399.8868462
9.263676768,1325.566168,399.8868462
9.292333333,1331.292227,399.8868462
9.320989899,1337.018287,399.8868462
9.349646465,1342.744346,399.8868462
9.37830303,1348.470405,399.8868462
