T,Predicted_GPP,CO2
7.922,1082.214337,388.594
7.950323232,1087.11319,388.594
7.978646465,1092.012043,388.594
8.006969697,1096.910895,388.594
8.035292929,1101.809748,388.594
8.063616162,1106.708601,388.594
8.091939394,1111.607454,388.594
8.120262626,1116.506307,388.594
8.148585859,1121.40516,388.594
8.176909091,1126.304013,388.594
8.205232323,1131.202866,388.594
8.233555556,1136.101719,388.594
8.261878788,1141.000572,388.594
8.29020202,1145.899425,388.594
8.318525253,1150.798278,388.594
8.346848485,1155.697131,388.594
8.375171717,1160.595984,388.594
8.403494949,1165.494837,388.594
8.431818182,1170.39369,388.594
8.460141414,1175.292543,388.594
8.488464646,1180.191396,388.594
8.516787879,1185.090249,388.594
8.545111111,1189.989102,388.594
8.573434343,1194.887955,388.594
8.601757576,1199.786808,388.594
8.630080808,1204.685661,388.594
8.65840404,1209.584513,388.594
8.686727273,1214.483366,388.594
8.715050505,1219.382219,388.594
8.743373737,1224.281072,388.594
8.77169697,1229.179925,388.594
8.800020202,1234.078778,388.594
8.828343434,1238.977631,388.594
8.856666667,1243.876484,388.594
8.884989899,1248.775337,388.594
8.913313131,1253.67419,388.594
8.941636364,1258.573043,388.594
8.969959596,1263.471896,388.594
8.998282828,1268.370749,388.594
9.026606061,1273.269602,388.594
9.054929293,1278.168455,388.594
9.083252525,1283.067308,388.594
9.111575758,1287.966161,388.594
9.13989899,1292.865014,388.594
9.168222222,1297.763867,388.594
9.196545455,1302.66272,388.594
9.224868687,1307.561573,388.594
9.253191919,1312.460426,388.594
9.281515152,1317.359279,388.594
9.309838384,1322.258131,388.594
9.338161616,1327.156984,388.594
9.366484848,1332.055837,388.594
9.394808081,1336.95469,388.594
9.423131313,1341.853543,388.594
9.451454545,1346.752396,388.594
9.479777778,1351.651249,388.594
9.50810101,1356.550102,388.594
9.536424242,1361.448955,388.594
9.564747475,1366.347808,388.594
9.593070707,1371.246661,388.594
9.621393939,1376.145514,388.594
9.649717172,1381.044367,388.594
9.678040404,1385.94322,388.594
9.706363636,1390.842073,388.594
9.734686869,1395.740926,388.594
9.763010101,1400.639779,388.594
9.791333333,1405.538632,388.594
9.819656566,1410.437485,388.594
9.847979798,1415.336338,388.594
9.87630303,1420.235191,388.594
9.904626263,1425.134044,388.594
9.932949495,1430.032897,388.594
9.961272727,1434.931749,388.594
9.98959596,1439.830602,388.594
10.01791919,1444.729455,388.594
10.04624242,1449.628308,388.594
10.07456566,1454.527161,388.594
10.10288889,1459.426014,388.594
10.13121212,1464.324867,388.594
10.15953535,1469.22372,388.594
10.18785859,1474.122573,388.594
10.21618182,1479.021426,388.594
10.24450505,1483.920279,388.594
10.27282828,1488.819132,388.594
10.30115152,1493.717985,388.594
10.32947475,1498.616838,388.594
10.35779798,1503.515691,388.594
10.38612121,1508.414544,388.594
10.41444444,1513.313397,388.594
10.44276768,1518.21225,388.594
10.47109091,1523.111103,388.594
10.49941414,1528.009956,388.594
10.52773737,1532.908809,388.594
10.55606061,1537.807662,388.594
10.58438384,1542.706515,388.594
10.61270707,1547.605368,388.594
10.6410303,1552.50422,388.594
10.66935354,1557.403073,388.594
10.69767677,1562.301926,388.594
10.726,1567.200779,388.594
7.922,1332.395787,404.5000625
7.950323232,1336.505947,404.5000625
7.978646465,1340.616107,404.5000625
8.006969697,1344.726268,404.5000625
8.035292929,1348.836428,404.5000625
8.063616162,1352.946588,404.5000625
8.091939394,1357.056748,404.5000625
8.120262626,1361.166909,404.5000625
8.148585859,1365.277069,404.5000625
8.176909091,1369.387229,404.5000625
8.205232323,1373.497389,404.5000625
8.233555556,1377.60755,404.5000625
8.261878788,1381.71771,404.5000625
8.29020202,1385.82787,404.5000625
8.318525253,1389.93803,404.5000625
8.346848485,1394.048191,404.5000625
8.375171717,1398.158351,404.5000625
8.403494949,1402.268511,404.5000625
8.431818182,1406.378671,404.5000625
8.460141414,1410.488832,404.5000625
8.488464646,1414.598992,404.5000625
8.516787879,1418.709152,404.5000625
8.545111111,1422.819312,404.5000625
8.573434343,1426.929473,404.5000625
8.601757576,1431.039633,404.5000625
8.630080808,1435.149793,404.5000625
8.65840404,1439.259953,404.5000625
8.686727273,1443.370114,404.5000625
8.715050505,1447.480274,404.5000625
8.743373737,1451.590434,404.5000625
8.77169697,1455.700594,404.5000625
8.800020202,1459.810755,404.5000625
8.828343434,1463.920915,404.5000625
8.856666667,1468.031075,404.5000625
8.884989899,1472.141235,404.5000625
8.913313131,1476.251396,404.5000625
8.941636364,1480.361556,404.5000625
8.969959596,1484.471716,404.5000625
8.998282828,1488.581876,404.5000625
9.026606061,1492.692037,404.5000625
9.054929293,1496.802197,404.5000625
9.083252525,1500.912357,404.5000625
9.111575758,1505.022517,404.5000625
9.13989899,1509.132678,404.5000625
9.168222222,1513.242838,404.5000625
9.196545455,1517.352998,404.5000625
9.224868687,1521.463158,404.5000625
9.253191919,1525.573319,404.5000625
9.281515152,1529.683479,404.5000625
9.309838384,1533.793639,404.5000625
9.338161616,1537.903799,404.5000625
9.366484848,1542.01396,404.5000625
9.394808081,1546.12412,404.5000625
9.423131313,1550.23428,404.5000625
9.451454545,1554.34444,404.5000625
9.479777778,1558.454601,404.5000625
9.50810101,1562.564761,404.5000625
9.536424242,1566.674921,404.5000625
9.564747475,1570.785081,404.5000625
9.593070707,1574.895242,404.5000625
9.621393939,1579.005402,404.5000625
9.649717172,1583.115562,404.5000625
9.678040404,1587.225722,404.5000625
9.706363636,1591.335883,404.5000625
9.734686869,1595.446043,404.5000625
9.763010101,1599.556203,404.5000625
9.791333333,1603.666363,404.5000625
9.819656566,1607.776524,404.5000625
9.847979798,1611.886684,404.5000625
9.87630303,1615.996844,404.5000625
9.904626263,1620.107004,404.5000625
9.932949495,1624.217165,404.5000625
9.961272727,1628.327325,404.5000625
9.98959596,1632.437485,404.5000625
10.01791919,1636.547645,404.5000625
10.04624242,1640.657806,404.5000625
10.07456566,1644.767966,404.5000625
10.10288889,1648.878126,404.5000625
10.13121212,1652.988286,404.5000625
10.15953535,1657.098447,404.5000625
10.18785859,1661.208607,404.5000625
10.21618182,1665.318767,404.5000625
10.24450505,1669.428927,404.5000625
10.27282828,1673.539088,404.5000625
10.30115152,1677.649248,404.5000625
10.32947475,1681.759408,404.5000625
10.35779798,1685.869568,404.5000625
10.38612121,1689.979729,404.5000625
10.41444444,1694.089889,404.5000625
