CO2 Concentration,Predicted_GPP,P
354.729,960.5653534,590
355.2077576,963.6203565,590
355.6865152,966.6753596,590
356.1652727,969.7303628,590
356.6440303,972.7853659,590
357.1227879,975.840369,590
357.6015455,978.8953721,590
358.080303,981.9503752,590
358.5590606,985.0053783,590
359.0378182,988.0603814,590
359.5165758,991.1153845,590
359.9953333,994.1703876,590
360.4740909,997.2253907,590
360.9528485,1000.280394,590
361.4316061,1003.335397,590
361.9103636,1006.3904,590
362.3891212,1009.445403,590
362.8678788,1012.500406,590
363.3466364,1015.555409,590
363.8253939,1018.610412,590
364.3041515,1021.665416,590
364.7829091,1024.720419,590
365.2616667,1027.775422,590
365.7404242,1030.830425,590
366.2191818,1033.885428,590
366.6979394,1036.940431,590
367.176697,1039.995434,590
367.6554545,1043.050437,590
368.1342121,1046.10544,590
368.6129697,1049.160444,590
369.0917273,1052.215447,590
369.5704848,1055.27045,590
370.0492424,1058.325453,590
370.528,1061.380456,590
371.0067576,1064.435459,590
371.4855152,1067.490462,590
371.9642727,1070.545465,590
372.4430303,1073.600468,590
372.9217879,1076.655472,590
373.4005455,1079.710475,590
373.879303,1082.765478,590
374.3580606,1085.820481,590
374.8368182,1088.875484,590
375.3155758,1091.930487,590
375.7943333,1094.98549,590
376.2730909,1098.040493,590
376.7518485,1101.095496,590
377.2306061,1104.150499,590
377.7093636,1107.205503,590
378.1881212,1110.260506,590
378.6668788,1113.315509,590
379.1456364,1116.370512,590
379.6243939,1119.425515,590
380.1031515,1122.480518,590
380.5819091,1125.535521,590
381.0606667,1128.590524,590
381.5394242,1131.645527,590
382.0181818,1134.700531,590
382.4969394,1137.755534,590
382.975697,1140.810537,590
383.4544545,1143.86554,590
383.9332121,1146.920543,590
384.4119697,1149.975546,590
384.8907273,1153.030549,590
385.3694848,1156.085552,590
385.8482424,1159.140555,590
386.327,1162.195559,590
386.8057576,1165.250562,590
387.2845152,1168.305565,590
387.7632727,1171.360568,590
388.2420303,1174.415571,590
388.7207879,1177.470574,590
389.1995455,1180.525577,590
389.678303,1183.58058,590
390.1570606,1186.635583,590
390.6358182,1189.690587,590
391.1145758,1192.74559,590
391.5933333,1195.800593,590
392.0720909,1198.855596,590
392.5508485,1201.910599,590
393.0296061,1204.965602,590
393.5083636,1208.020605,590
393.9871212,1211.075608,590
394.4658788,1214.130611,590
394.9446364,1217.185614,590
395.4233939,1220.240618,590
395.9021515,1223.295621,590
396.3809091,1226.350624,590
396.8596667,1229.405627,590
397.3384242,1232.46063,590
397.8171818,1235.515633,590
398.2959394,1238.570636,590
398.774697,1241.625639,590
399.2534545,1244.680642,590
399.7322121,1247.735646,590
400.2109697,1250.790649,590
400.6897273,1253.845652,590
401.1684848,1256.900655,590
401.6472424,1259.955658,590
402.126,1263.010661,590
354.729,1277.617852,841.6544444
355.2077576,1279.486948,841.6544444
355.6865152,1281.356043,841.6544444
356.1652727,1283.225139,841.6544444
356.6440303,1285.094234,841.6544444
357.1227879,1286.963329,841.6544444
357.6015455,1288.832425,841.6544444
358.080303,1290.70152,841.6544444
358.5590606,1292.570615,841.6544444
359.0378182,1294.439711,841.6544444
359.5165758,1296.308806,841.6544444
359.9953333,1298.177902,841.6544444
360.4740909,1300.046997,841.6544444
360.9528485,1301.916092,841.6544444
361.4316061,1303.785188,841.6544444
361.9103636,1305.654283,841.6544444
362.3891212,1307.523378,841.6544444
