CO2 Concentration,Predicted_GPP,T
371.677,1420.870647,6.149
372.2195051,1422.671755,6.149
372.7620101,1424.472864,6.149
373.3045152,1426.273972,6.149
373.8470202,1428.07508,6.149
374.3895253,1429.876189,6.149
374.9320303,1431.677297,6.149
375.4745354,1433.478406,6.149
376.0170404,1435.279514,6.149
376.5595455,1437.080623,6.149
377.1020505,1438.881731,6.149
377.6445556,1440.68284,6.149
378.1870606,1442.483948,6.149
378.7295657,1444.285056,6.149
379.2720707,1446.086165,6.149
379.8145758,1447.887273,6.149
380.3570808,1449.688382,6.149
380.8995859,1451.48949,6.149
381.4420909,1453.290599,6.149
381.984596,1455.091707,6.149
382.527101,1456.892816,6.149
383.0696061,1458.693924,6.149
383.6121111,1460.495032,6.149
384.1546162,1462.296141,6.149
384.6971212,1464.097249,6.149
385.2396263,1465.898358,6.149
385.7821313,1467.699466,6.149
386.3246364,1469.500575,6.149
386.8671414,1471.301683,6.149
387.4096465,1473.102792,6.149
387.9521515,1474.9039,6.149
388.4946566,1476.705009,6.149
389.0371616,1478.506117,6.149
389.5796667,1480.307225,6.149
390.1221717,1482.108334,6.149
390.6646768,1483.909442,6.149
391.2071818,1485.710551,6.149
391.7496869,1487.511659,6.149
392.2921919,1489.312768,6.149
392.834697,1491.113876,6.149
393.377202,1492.914985,6.149
393.9197071,1494.716093,6.149
394.4622121,1496.517201,6.149
395.0047172,1498.31831,6.149
395.5472222,1500.119418,6.149
396.0897273,1501.920527,6.149
396.6322323,1503.721635,6.149
397.1747374,1505.522744,6.149
397.7172424,1507.323852,6.149
398.2597475,1509.124961,6.149
398.8022525,1510.926069,6.149
399.3447576,1512.727177,6.149
399.8872626,1514.528286,6.149
400.4297677,1516.329394,6.149
400.9722727,1518.130503,6.149
401.5147778,1519.931611,6.149
402.0572828,1521.73272,6.149
402.5997879,1523.533828,6.149
403.1422929,1525.334937,6.149
403.684798,1527.136045,6.149
404.227303,1528.937153,6.149
404.7698081,1530.738262,6.149
405.3123131,1532.53937,6.149
405.8548182,1534.340479,6.149
406.3973232,1536.141587,6.149
406.9398283,1537.942696,6.149
407.4823333,1539.743804,6.149
408.0248384,1541.544913,6.149
408.5673434,1543.346021,6.149
409.1098485,1545.14713,6.149
409.6523535,1546.948238,6.149
410.1948586,1548.749346,6.149
410.7373636,1550.550455,6.149
411.2798687,1552.351563,6.149
411.8223737,1554.152672,6.149
412.3648788,1555.95378,6.149
412.9073838,1557.754889,6.149
413.4498889,1559.555997,6.149
413.9923939,1561.357106,6.149
414.534899,1563.158214,6.149
415.077404,1564.959322,6.149
415.6199091,1566.760431,6.149
416.1624141,1568.561539,6.149
416.7049192,1570.362648,6.149
