CO2 Concentration,Predicted_GPP,VPD
360,1159.496466,2.803
360.6108182,1166.718398,2.803
361.2216364,1173.940329,2.803
361.8324545,1181.16226,2.803
362.4432727,1188.384192,2.803
363.0540909,1195.606123,2.803
363.6649091,1202.828055,2.803
364.2757273,1210.049986,2.803
364.8865455,1217.271918,2.803
365.4973636,1224.493849,2.803
366.1081818,1231.715781,2.803
366.719,1238.937712,2.803
367.3298182,1246.159644,2.803
367.9406364,1253.381575,2.803
368.5514545,1260.603506,2.803
369.1622727,1267.825438,2.803
369.7730909,1275.047369,2.803
370.3839091,1282.269301,2.803
370.9947273,1289.491232,2.803
371.6055455,1296.713164,2.803
372.2163636,1303.935095,2.803
372.8271818,1311.157027,2.803
373.438,1318.378958,2.803
374.0488182,1325.60089,2.803
374.6596364,1332.822821,2.803
375.2704545,1340.044752,2.803
375.8812727,1347.266684,2.803
376.4920909,1354.488615,2.803
377.1029091,1361.710547,2.803
377.7137273,1368.932478,2.803
378.3245455,1376.15441,2.803
378.9353636,1383.376341,2.803
379.5461818,1390.598273,2.803
380.157,1397.820204,2.803
380.7678182,1405.042135,2.803
381.3786364,1412.264067,2.803
381.9894545,1419.485998,2.803
382.6002727,1426.70793,2.803
383.2110909,1433.929861,2.803
383.8219091,1441.151793,2.803
384.4327273,1448.373724,2.803
385.0435455,1455.595656,2.803
385.6543636,1462.817587,2.803
386.2651818,1470.039519,2.803
386.876,1477.26145,2.803
387.4868182,1484.483381,2.803
388.0976364,1491.705313,2.803
388.7084545,1498.927244,2.803
389.3192727,1506.149176,2.803
389.9300909,1513.371107,2.803
390.5409091,1520.593039,2.803
391.1517273,1527.81497,2.803
391.7625455,1535.036902,2.803
392.3733636,1542.258833,2.803
392.9841818,1549.480765,2.803
393.595,1556.702696,2.803
394.2058182,1563.924627,2.803
394.8166364,1571.146559,2.803
395.4274545,1578.36849,2.803
396.0382727,1585.590422,2.803
396.6490909,1592.812353,2.803
397.2599091,1600.034285,2.803
397.8707273,1607.256216,2.803
398.4815455,1614.478148,2.803
399.0923636,1621.700079,2.803
399.7031818,1628.92201,2.803
400.314,1636.143942,2.803
400.9248182,1643.365873,2.803
401.5356364,1650.587805,2.803
402.1464545,1657.809736,2.803
402.7572727,1665.031668,2.803
403.3680909,1672.253599,2.803
403.9789091,1679.475531,2.803
404.5897273,1686.697462,2.803
405.2005455,1693.919394,2.803
405.8113636,1701.141325,2.803
406.4221818,1708.363256,2.803
407.033,1715.585188,2.803
407.6438182,1722.807119,2.803
408.2546364,1730.029051,2.803
408.8654545,1737.250982,2.803
409.4762727,1744.472914,2.803
410.0870909,1751.694845,2.803
410.6979091,1758.916777,2.803
411.3087273,1766.138708,2.803
411.9195455,1773.36064,2.803
412.5303636,1780.582571,2.803
413.1411818,1787.804502,2.803
413.752,1795.026434,2.803
414.3628182,1802.248365,2.803
414.9736364,1809.470297,2.803
415.5844545,1816.692228,2.803
416.1952727,1823.91416,2.803
416.8060909,1831.136091,2.803
417.4169091,1838.358023,2.803
418.0277273,1845.579954,2.803
418.6385455,1852.801886,2.803
419.2493636,1860.023817,2.803
419.8601818,1867.245748,2.803
420.471,1874.46768,2.803
360,1253.841656,3.602166667
360.6108182,1263.43029,3.602166667
361.2216364,1273.018923,3.602166667
361.8324545,1282.607556,3.602166667
362.4432727,1292.19619,3.602166667
363.0540909,1301.784823,3.602166667
363.6649091,1311.373456,3.602166667
364.2757273,1320.96209,3.602166667
364.8865455,1330.550723,3.602166667
365.4973636,1340.139356,3.602166667
366.1081818,1349.72799,3.602166667
366.719,1359.316623,3.602166667
367.3298182,1368.905256,3.602166667
367.9406364,1378.49389,3.602166667
368.5514545,1388.082523,3.602166667
369.1622727,1397.671157,3.602166667
369.7730909,1407.25979,3.602166667
370.3839091,1416.848423,3.602166667
370.9947273,1426.437057,3.602166667
371.6055455,1436.02569,3.602166667
372.2163636,1445.614323,3.602166667
372.8271818,1455.202957,3.602166667
373.438,1464.79159,3.602166667
374.0488182,1474.380223,3.602166667
374.6596364,1483.968857,3.602166667
375.2704545,1493.55749,3.602166667
375.8812727,1503.146123,3.602166667
376.4920909,1512.734757,3.602166667
377.1029091,1522.32339,3.602166667
377.7137273,1531.912023,3.602166667
378.3245455,1541.500657,3.602166667
378.9353636,1551.08929,3.602166667
379.5461818,1560.677924,3.602166667
380.157,1570.266557,3.602166667
380.7678182,1579.85519,3.602166667
381.3786364,1589.443824,3.602166667
381.9894545,1599.032457,3.602166667
382.6002727,1608.62109,3.602166667
383.2110909,1618.209724,3.602166667
383.8219091,1627.798357,3.602166667
384.4327273,1637.38699,3.602166667
385.0435455,1646.975624,3.602166667
385.6543636,1656.564257,3.602166667
386.2651818,1666.15289,3.602166667
386.876,1675.741524,3.602166667
387.4868182,1685.330157,3.602166667
388.0976364,1694.918791,3.602166667
388.7084545,1704.507424,3.602166667
389.3192727,1714.096057,3.602166667
389.9300909,1723.684691,3.602166667
390.5409091,1733.273324,3.602166667
391.1517273,1742.861957,3.602166667
