CO2 Concentration,Predicted_GPP,Pa
368.683,1398.190803,280.589
369.1059899,1399.74675,280.589
369.5289798,1401.302698,280.589
369.9519697,1402.858645,280.589
370.3749596,1404.414592,280.589
370.7979495,1405.97054,280.589
371.2209394,1407.526487,280.589
371.6439293,1409.082435,280.589
372.0669192,1410.638382,280.589
372.4899091,1412.194329,280.589
372.912899,1413.750277,280.589
373.3358889,1415.306224,280.589
373.7588788,1416.862171,280.589
374.1818687,1418.418119,280.589
374.6048586,1419.974066,280.589
375.0278485,1421.530014,280.589
375.4508384,1423.085961,280.589
375.8738283,1424.641908,280.589
376.2968182,1426.197856,280.589
376.7198081,1427.753803,280.589
377.142798,1429.30975,280.589
377.5657879,1430.865698,280.589
377.9887778,1432.421645,280.589
378.4117677,1433.977593,280.589
378.8347576,1435.53354,280.589
379.2577475,1437.089487,280.589
379.6807374,1438.645435,280.589
380.1037273,1440.201382,280.589
380.5267172,1441.757329,280.589
380.9497071,1443.313277,280.589
381.372697,1444.869224,280.589
381.7956869,1446.425172,280.589
382.2186768,1447.981119,280.589
382.6416667,1449.537066,280.589
383.0646566,1451.093014,280.589
383.4876465,1452.648961,280.589
383.9106364,1454.204908,280.589
384.3336263,1455.760856,280.589
384.7566162,1457.316803,280.589
385.1796061,1458.872751,280.589
385.602596,1460.428698,280.589
386.0255859,1461.984645,280.589
386.4485758,1463.540593,280.589
386.8715657,1465.09654,280.589
387.2945556,1466.652487,280.589
387.7175455,1468.208435,280.589
388.1405354,1469.764382,280.589
388.5635253,1471.32033,280.589
388.9865152,1472.876277,280.589
389.4095051,1474.432224,280.589
389.8324949,1475.988172,280.589
390.2554848,1477.544119,280.589
390.6784747,1479.100066,280.589
391.1014646,1480.656014,280.589
391.5244545,1482.211961,280.589
391.9474444,1483.767909,280.589
392.3704343,1485.323856,280.589
392.7934242,1486.879803,280.589
393.2164141,1488.435751,280.589
393.639404,1489.991698,280.589
394.0623939,1491.547645,280.589
394.4853838,1493.103593,280.589
394.9083737,1494.65954,280.589
395.3313636,1496.215488,280.589
395.7543535,1497.771435,280.589
396.1773434,1499.327382,280.589
396.6003333,1500.88333,280.589
397.0233232,1502.439277,280.589
397.4463131,1503.995224,280.589
397.869303,1505.551172,280.589
398.2922929,1507.107119,280.589
398.7152828,1508.663067,280.589
399.1382727,1510.219014,280.589
399.5612626,1511.774961,280.589
399.9842525,1513.330909,280.589
400.4072424,1514.886856,280.589
400.8302323,1516.442803,280.589
401.2532222,1517.998751,280.589
401.6762121,1519.554698,280.589
402.099202,1521.110645,280.589
402.5221919,1522.666593,280.589
402.9451818,1524.22254,280.589
403.3681717,1525.778488,280.589
403.7911616,1527.334435,280.589
404.2141515,1528.890382,280.589
404.6371414,1530.44633,280.589
405.0601313,1532.002277,280.589
405.4831212,1533.558224,280.589
405.9061111,1535.114172,280.589
406.329101,1536.670119,280.589
406.7520909,1538.226067,280.589
407.1750808,1539.782014,280.589
407.5980707,1541.337961,280.589
408.0210606,1542.893909,280.589
408.4440505,1544.449856,280.589
408.8670404,1546.005803,280.589
409.2900303,1547.561751,280.589
409.7130202,1549.117698,280.589
410.1360101,1550.673646,280.589
410.559,1552.229593,280.589
368.683,1333.732917,489.3440526
369.1059899,1344.828647,489.3440526
369.5289798,1355.924376,489.3440526
369.9519697,1367.020105,489.3440526
370.3749596,1378.115834,489.3440526
370.7979495,1389.211564,489.3440526
371.2209394,1400.307293,489.3440526
371.6439293,1411.403022,489.3440526
372.0669192,1422.498751,489.3440526
372.4899091,1433.594481,489.3440526
372.912899,1444.69021,489.3440526
373.3358889,1455.785939,489.3440526
373.7588788,1466.881668,489.3440526
374.1818687,1477.977398,489.3440526
374.6048586,1489.073127,489.3440526
375.0278485,1500.168856,489.3440526
375.4508384,1511.264585,489.3440526
375.8738283,1522.360315,489.3440526
376.2968182,1533.456044,489.3440526
376.7198081,1544.551773,489.3440526
377.142798,1555.647503,489.3440526
377.5657879,1566.743232,489.3440526
377.9887778,1577.838961,489.3440526
378.4117677,1588.93469,489.3440526
378.8347576,1600.03042,489.3440526
379.2577475,1611.126149,489.3440526
