CO2 Concentration,Predicted_GPP,SW,
383.8888889,1054.89121,136.9730833,753.4937214
384.1111111,1096.140135,136.9730833,782.9572393
384.3333333,1137.38906,136.9730833,812.4207571
384.5555556,1178.637985,136.9730833,841.884275
384.7777778,1219.886909,136.9730833,871.3477921
385,1261.135834,136.9730833,900.81131
385.2222222,1302.384759,136.9730833,930.2748279
385.4444444,1343.633684,136.9730833,959.7383457
385.6666667,1384.882609,136.9730833,989.2018636
385.8888889,1426.131534,136.9730833,1018.665381
386.1111111,1467.380458,136.9730833,1048.128899
386.3333333,1508.629383,136.9730833,1077.592416
386.5555556,1549.878308,136.9730833,1107.055934
386.7777778,1591.127233,136.9730833,1136.519452
387,1632.376158,136.9730833,1165.98297
387.2222222,1673.625083,136.9730833,1195.446488
387.4444444,1714.874007,136.9730833,1224.910005
387.6666667,1756.122932,136.9730833,1254.373523
387.8888889,1797.371857,136.9730833,1283.837041
388.1111111,1838.620782,136.9730833,1313.300559
388.3333333,1879.869707,136.9730833,1342.764076
388.5555556,1921.118632,136.9730833,1372.227594
388.7777778,1962.367556,136.9730833,1401.691111
389,2003.616481,136.9730833,1431.154629
389.2222222,2044.865406,136.9730833,1460.618147
389.4444444,2086.114331,136.9730833,1490.081665
389.6666667,2127.363256,136.9730833,1519.545183
389.8888889,2168.612181,136.9730833,1549.008701
390.1111111,2209.861105,136.9730833,1578.472218
390.3333333,2251.11003,136.9730833,1607.935736
390.5555556,2292.358955,136.9730833,1637.399254
390.7777778,2333.60788,136.9730833,1666.862771
391,2374.856805,136.9730833,1696.326289
391.2222222,2416.10573,136.9730833,1725.789807
391.4444444,2457.354654,136.9730833,1755.253324
391.6666667,2498.603579,136.9730833,1784.716842
391.8888889,2539.852504,136.9730833,1814.18036
392.1111111,2581.101429,136.9730833,1843.643878
392.3333333,2622.350354,136.9730833,1873.107396
392.5555556,2663.599279,136.9730833,1902.570914
392.7777778,2704.848203,136.9730833,1932.034431
393,2746.097128,136.9730833,1961.497949
393.2222222,2787.346053,136.9730833,1990.961466
393.4444444,2828.594978,136.9730833,2020.424984
393.6666667,2869.843903,136.9730833,2049.888502
393.8888889,2911.092828,136.9730833,2079.35202
