CO2 Concentration,Predicted_GPP,T
300.0,1423.3011072889585,6.116
301.1320101010101,1427.2236310718486,6.116
302.2640202020202,1431.1461548547381,6.116
303.39603030303033,1435.0686786376284,6.116
304.5280404040404,1438.991202420518,6.116
305.6600505050505,1442.9137262034078,6.116
306.7920606060606,1446.8362499862976,6.116
307.9240707070707,1450.7587737691877,6.116
309.0560808080808,1454.6812975520775,6.116
310.18809090909093,1458.6038213349673,6.116
311.320101010101,1462.5263451178569,6.116
312.4521111111111,1466.4488689007467,6.116
313.5841212121212,1470.3713926836367,6.116
314.7161313131313,1474.2939164665265,6.116
315.8481414141414,1478.2164402494163,6.116
316.98015151515153,1482.1389640323064,6.116
318.11216161616164,1486.0614878151962,6.116
319.2441717171717,1489.9840115980858,6.116
320.3761818181818,1493.906535380976,6.116
321.5081919191919,1497.8290591638656,6.116
322.640202020202,1501.7515829467557,6.116
323.77221212121214,1505.6741067296452,6.116
324.90422222222224,1509.5966305125353,6.116
326.0362323232323,1513.519154295425,6.116
327.1682424242424,1517.441678078315,6.116
328.3002525252525,1521.3642018612047,6.116
329.4322626262626,1525.2867256440945,6.116
330.56427272727274,1529.2092494269846,6.116
331.69628282828285,1533.1317732098744,6.116
332.82829292929296,1537.0542969927642,6.116
333.960303030303,1540.976820775654,6.116
335.0923131313131,1544.8993445585438,6.116
336.22432323232323,1548.8218683414336,6.116
337.35633333333334,1552.7443921243234,6.116
338.48834343434345,1556.6669159072133,6.116
339.62035353535356,1560.589439690103,6.116
340.7523636363636,1564.5119634729929,6.116
341.8843737373737,1568.434487255883,6.116
343.01638383838383,1572.3570110387727,6.116
344.14839393939394,1576.2795348216628,6.116
345.28040404040405,1580.2020586045523,6.116
346.41241414141416,1584.1245823874424,6.116
347.54442424242427,1588.0471061703324,6.116
348.6764343434344,1591.969629953222,6.116
349.80844444444443,1595.8921537361118,6.116
350.94045454545454,1599.8146775190016,6.116
352.07246464646465,1603.7372013018914,6.116
353.20447474747476,1607.6597250847813,6.116
354.3364848484849,1611.5822488676715,6.116
355.4684949494949,1615.5047726505609,6.116
356.60050505050503,1619.427296433451,6.116
357.73251515151514,1623.3498202163407,6.116
358.86452525252525,1627.2723439992305,6.116
359.99653535353536,1631.1948677821204,6.116
361.1285454545455,1635.1173915650104,6.116
362.2605555555556,1639.0399153479002,6.116
363.3925656565657,1642.9624391307902,6.116
364.52457575757575,1646.8849629136798,6.116
365.65658585858586,1650.8074866965694,6.116
366.78859595959597,1654.7300104794595,6.116
367.9206060606061,1658.6525342623495,6.116
369.0526161616162,1662.5750580452395,6.116
370.18462626262624,1666.4975818281291,6.116
371.31663636363635,1670.420105611019,6.116
372.44864646464646,1674.3426293939087,6.116
373.58065656565657,1678.2651531767985,6.116
374.7126666666667,1682.1876769596886,6.116
375.8446767676768,1686.1102007425784,6.116
376.9766868686869,1690.0327245254684,6.116
378.108696969697,1693.9552483083583,6.116
379.24070707070706,1697.8777720912476,6.116
