CO2 Concentration,Predicted_GPP,T
382,1315.224549,5.306
382.3588182,1315.788108,5.306
382.7176364,1316.351667,5.306
383.0764545,1316.915227,5.306
383.4352727,1317.478786,5.306
383.7940909,1318.042345,5.306
384.1529091,1318.605905,5.306
384.5117273,1319.169464,5.306
384.8705455,1319.733023,5.306
385.2293636,1320.296583,5.306
385.5881818,1320.860142,5.306
385.947,1321.423701,5.306
386.3058182,1321.987261,5.306
386.6646364,1322.55082,5.306
387.0234545,1323.114379,5.306
387.3822727,1323.677939,5.306
387.7410909,1324.241498,5.306
388.0999091,1324.805057,5.306
388.4587273,1325.368617,5.306
388.8175455,1325.932176,5.306
389.1763636,1326.495735,5.306
389.5351818,1327.059295,5.306
389.894,1327.622854,5.306
390.2528182,1328.186413,5.306
390.6116364,1328.749973,5.306
390.9704545,1329.313532,5.306
391.3292727,1329.877091,5.306
391.6880909,1330.44065,5.306
392.0469091,1331.00421,5.306
392.4057273,1331.567769,5.306
392.7645455,1332.131328,5.306
393.1233636,1332.694888,5.306
393.4821818,1333.258447,5.306
393.841,1333.822006,5.306
394.1998182,1334.385566,5.306
394.5586364,1334.949125,5.306
394.9174545,1335.512684,5.306
395.2762727,1336.076244,5.306
395.6350909,1336.639803,5.306
395.9939091,1337.203362,5.306
396.3527273,1337.766922,5.306
396.7115455,1338.330481,5.306
397.0703636,1338.89404,5.306
397.4291818,1339.4576,5.306
397.788,1340.021159,5.306
398.1468182,1340.584718,5.306
398.5056364,1341.148278,5.306
398.8644545,1341.711837,5.306
399.2232727,1342.275396,5.306
399.5820909,1342.838956,5.306
399.9409091,1343.402515,5.306
400.2997273,1343.966074,5.306
400.6585455,1344.529634,5.306
401.0173636,1345.093193,5.306
401.3761818,1345.656752,5.306
401.735,1346.220312,5.306
402.0938182,1346.783871,5.306
402.4526364,1347.34743,5.306
402.8114545,1347.91099,5.306
403.1702727,1348.474549,5.306
403.5290909,1349.038108,5.306
403.8879091,1349.601667,5.306
404.2467273,1350.165227,5.306
404.6055455,1350.728786,5.306
404.9643636,1351.292345,5.306
405.3231818,1351.855905,5.306
405.682,1352.419464,5.306
406.0408182,1352.983023,5.306
406.3996364,1353.546583,5.306
406.7584545,1354.110142,5.306
407.1172727,1354.673701,5.306
407.4760909,1355.237261,5.306
407.8349091,1355.80082,5.306
408.1937273,1356.364379,5.306
408.5525455,1356.927939,5.306
408.9113636,1357.491498,5.306
409.2701818,1358.055057,5.306
409.629,1358.618617,5.306
409.9878182,1359.182176,5.306
410.3466364,1359.745735,5.306
410.7054545,1360.309295,5.306
411.0642727,1360.872854,5.306
411.4230909,1361.436413,5.306
411.7819091,1361.999973,5.306
412.1407273,1362.563532,5.306
412.4995455,1363.127091,5.306
412.8583636,1363.690651,5.306
413.2171818,1364.25421,5.306
413.576,1364.817769,5.306
413.9348182,1365.381329,5.306
414.2936364,1365.944888,5.306
414.6524545,1366.508447,5.306
415.0112727,1367.072007,5.306
415.3700909,1367.635566,5.306
415.7289091,1368.199125,5.306
416.0877273,1368.762684,5.306
416.4465455,1369.326244,5.306
416.8053636,1369.889803,5.306
417.1641818,1370.453362,5.306
417.523,1371.016922,5.306
382,973.6046422,7.252266667
382.3588182,982.9703681,7.252266667
382.7176364,992.3360941,7.252266667
383.0764545,1001.70182,7.252266667
383.4352727,1011.067546,7.252266667
383.7940909,1020.433272,7.252266667
384.1529091,1029.798998,7.252266667
384.5117273,1039.164724,7.252266667
384.8705455,1048.53045,7.252266667
385.2293636,1057.896176,7.252266667
385.5881818,1067.261902,7.252266667
385.947,1076.627628,7.252266667
386.3058182,1085.993354,7.252266667
386.6646364,1095.35908,7.252266667
387.0234545,1104.724806,7.252266667
387.3822727,1114.090532,7.252266667
387.7410909,1123.456257,7.252266667
388.0999091,1132.821983,7.252266667
388.4587273,1142.187709,7.252266667
388.8175455,1151.553435,7.252266667
389.1763636,1160.919161,7.252266667
389.5351818,1170.284887,7.252266667
389.894,1179.650613,7.252266667
390.2528182,1189.016339,7.252266667
390.6116364,1198.382065,7.252266667
390.9704545,1207.747791,7.252266667
391.3292727,1217.113517,7.252266667
391.6880909,1226.479243,7.252266667
392.0469091,1235.844969,7.252266667
392.4057273,1245.210695,7.252266667
392.7645455,1254.576421,7.252266667
393.1233636,1263.942147,7.252266667
393.4821818,1273.307873,7.252266667
393.841,1282.673599,7.252266667
394.1998182,1292.039325,7.252266667
394.5586364,1301.405051,7.252266667
394.9174545,1310.770777,7.252266667
395.2762727,1320.136502,7.252266667
395.6350909,1329.502228,7.252266667
395.9939091,1338.867954,7.252266667
396.3527273,1348.23368,7.252266667
396.7115455,1357.599406,7.252266667
397.0703636,1366.965132,7.252266667
397.4291818,1376.330858,7.252266667
397.788,1385.696584,7.252266667
398.1468182,1395.06231,7.252266667
398.5056364,1404.428036,7.252266667
398.8644545,1413.793762,7.252266667
399.2232727,1423.159488,7.252266667
399.5820909,1432.525214,7.252266667
399.9409091,1441.89094,7.252266667
400.2997273,1451.256666,7.252266667
400.6585455,1460.622392,7.252266667
401.0173636,1469.988118,7.252266667
401.3761818,1479.353844,7.252266667
401.735,1488.71957,7.252266667
402.0938182,1498.085296,7.252266667
402.4526364,1507.451022,7.252266667
402.8114545,1516.816748,7.252266667
403.1702727,1526.182473,7.252266667
403.5290909,1535.548199,7.252266667
403.8879091,1544.913925,7.252266667
404.2467273,1554.279651,7.252266667
404.6055455,1563.645377,7.252266667
404.9643636,1573.011103,7.252266667
405.3231818,1582.376829,7.252266667
405.682,1591.742555,7.252266667
406.0408182,1601.108281,7.252266667
406.3996364,1610.474007,7.252266667
406.7584545,1619.839733,7.252266667
407.1172727,1629.205459,7.252266667
407.4760909,1638.571185,7.252266667
407.8349091,1647.936911,7.252266667
408.1937273,1657.302637,7.252266667
408.5525455,1666.668363,7.252266667
408.9113636,1676.034089,7.252266667
409.2701818,1685.399815,7.252266667
409.629,1694.765541,7.252266667
409.9878182,1704.131267,7.252266667
410.3466364,1713.496993,7.252266667
410.7054545,1722.862719,7.252266667
411.0642727,1732.228444,7.252266667
411.4230909,1741.59417,7.252266667
411.7819091,1750.959896,7.252266667
412.1407273,1760.325622,7.252266667
412.4995455,1769.691348,7.252266667
412.8583636,1779.057074,7.252266667
413.2171818,1788.4228,7.252266667
413.576,1797.788526,7.252266667
413.9348182,1807.154252,7.252266667
414.2936364,1816.519978,7.252266667
414.6524545,1825.885704,7.252266667
415.0112727,1835.25143,7.252266667
415.3700909,1844.617156,7.252266667
415.7289091,1853.982882,7.252266667
