CO2 Concentration,Predicted_GPP,P
369,1714.612367,903.12
369.1919192,1714.607777,903.12
369.3838384,1714.603186,903.12
369.5757576,1714.598596,903.12
369.7676768,1714.594006,903.12
369.959596,1714.589416,903.12
370.1515152,1714.584825,903.12
370.3434343,1714.580235,903.12
370.5353535,1714.575645,903.12
370.7272727,1714.571055,903.12
370.9191919,1714.566464,903.12
371.1111111,1714.561874,903.12
371.3030303,1714.557284,903.12
371.4949495,1714.552694,903.12
371.6868687,1714.548103,903.12
371.8787879,1714.543513,903.12
372.0707071,1714.538923,903.12
372.2626263,1714.534333,903.12
372.4545455,1714.529742,903.12
372.6464646,1714.525152,903.12
372.8383838,1714.520562,903.12
373.030303,1714.515972,903.12
373.2222222,1714.511381,903.12
373.4141414,1714.506791,903.12
373.6060606,1714.502201,903.12
373.7979798,1714.497611,903.12
373.989899,1714.493021,903.12
374.1818182,1714.48843,903.12
374.3737374,1714.48384,903.12
374.5656566,1714.47925,903.12
374.7575758,1714.47466,903.12
374.9494949,1714.470069,903.12
375.1414141,1714.465479,903.12
375.3333333,1714.460889,903.12
375.5252525,1714.456299,903.12
375.7171717,1714.451708,903.12
375.9090909,1714.447118,903.12
376.1010101,1714.442528,903.12
376.2929293,1714.437938,903.12
376.4848485,1714.433347,903.12
376.6767677,1714.428757,903.12
376.8686869,1714.424167,903.12
377.0606061,1714.419577,903.12
377.2525253,1714.414986,903.12
377.4444444,1714.410396,903.12
377.6363636,1714.405806,903.12
377.8282828,1714.401216,903.12
378.020202,1714.396625,903.12
378.2121212,1714.392035,903.12
378.4040404,1714.387445,903.12
378.5959596,1714.382855,903.12
378.7878788,1714.378264,903.12
378.979798,1714.373674,903.12
379.1717172,1714.369084,903.12
379.3636364,1714.364494,903.12
379.5555556,1714.359903,903.12
379.7474747,1714.355313,903.12
379.9393939,1714.350723,903.12
380.1313131,1714.346133,903.12
380.3232323,1714.341542,903.12
380.5151515,1714.336952,903.12
380.7070707,1714.332362,903.12
380.8989899,1714.327772,903.12
381.0909091,1714.323181,903.12
381.2828283,1714.318591,903.12
381.4747475,1714.314001,903.12
381.6666667,1714.309411,903.12
381.8585859,1714.30482,903.12
382.0505051,1714.30023,903.12
382.2424242,1714.29564,903.12
382.4343434,1714.29105,903.12
382.6262626,1714.286459,903.12
382.8181818,1714.281869,903.12
383.010101,1714.277279,903.12
383.2020202,1714.272689,903.12
383.3939394,1714.268098,903.12
383.5858586,1714.263508,903.12
383.7777778,1714.258918,903.12
383.969697,1714.254328,903.12
384.1616162,1714.249738,903.12
384.3535354,1714.245147,903.12
384.5454545,1714.240557,903.12
384.7373737,1714.235967,903.12
384.9292929,1714.231377,903.12
385.1212121,1714.226786,903.12
385.3131313,1714.222196,903.12
385.5050505,1714.217606,903.12
385.6969697,1714.213016,903.12
385.8888889,1714.208425,903.12
386.0808081,1714.203835,903.12
386.2727273,1714.199245,903.12
386.4646465,1714.194655,903.12
386.6565657,1714.190064,903.12
386.8484848,1714.185474,903.12
387.040404,1714.180884,903.12
387.2323232,1714.176294,903.12
387.4242424,1714.171703,903.12
387.6161616,1714.167113,903.12
387.8080808,1714.162523,903.12
388,1714.157933,903.12
369,38.20066442,1374.815182
369.1919192,72.82012078,1374.815182
369.3838384,107.4395771,1374.815182
369.5757576,142.0590335,1374.815182
369.7676768,176.6784898,1374.815182
369.959596,211.2979462,1374.815182
370.1515152,245.9174026,1374.815182
370.3434343,280.5368589,1374.815182
370.5353535,315.1563153,1374.815182
370.7272727,349.7757716,1374.815182
370.9191919,384.395228,1374.815182
371.1111111,419.0146843,1374.815182
371.3030303,453.6341407,1374.815182
371.4949495,488.253597,1374.815182
371.6868687,522.8730534,1374.815182
371.8787879,557.4925098,1374.815182
372.0707071,592.1119661,1374.815182
372.2626263,626.7314225,1374.815182
372.4545455,661.3508788,1374.815182
372.6464646,695.9703352,1374.815182
372.8383838,730.5897915,1374.815182
