CO2 Concentration,Predicted_GPP,T
388.582,266.3575718,2.434
388.9318485,268.4514569,2.434
389.281697,270.545342,2.434
389.6315455,272.6392271,2.434
389.9813939,274.7331122,2.434
390.3312424,276.8269973,2.434
390.6810909,278.9208823,2.434
391.0309394,281.0147674,2.434
391.3807879,283.1086525,2.434
391.7306364,285.2025376,2.434
392.0804848,287.2964227,2.434
392.4303333,289.3903078,2.434
392.7801818,291.4841929,2.434
393.1300303,293.578078,2.434
393.4798788,295.6719631,2.434
393.8297273,297.7658482,2.434
394.1795758,299.8597333,2.434
394.5294242,301.9536184,2.434
394.8792727,304.0475035,2.434
395.2291212,306.1413886,2.434
395.5789697,308.2352737,2.434
395.9288182,310.3291588,2.434
396.2786667,312.4230439,2.434
396.6285152,314.516929,2.434
396.9783636,316.6108141,2.434
397.3282121,318.7046992,2.434
397.6780606,320.7985843,2.434
398.0279091,322.8924694,2.434
398.3777576,324.9863545,2.434
398.7276061,327.0802396,2.434
399.0774545,329.1741247,2.434
399.427303,331.2680098,2.434
399.7771515,333.3618949,2.434
400.127,335.45578,2.434
400.4768485,337.5496651,2.434
400.826697,339.6435502,2.434
401.1765455,341.7374353,2.434
401.5263939,343.8313204,2.434
401.8762424,345.9252055,2.434
402.2260909,348.0190905,2.434
402.5759394,350.1129756,2.434
402.9257879,352.2068607,2.434
403.2756364,354.3007458,2.434
403.6254848,356.3946309,2.434
403.9753333,358.488516,2.434
404.3251818,360.5824011,2.434
404.6750303,362.6762862,2.434
405.0248788,364.7701713,2.434
405.3747273,366.8640564,2.434
405.7245758,368.9579415,2.434
406.0744242,371.0518266,2.434
406.4242727,373.1457117,2.434
406.7741212,375.2395968,2.434
407.1239697,377.3334819,2.434
407.4738182,379.427367,2.434
407.8236667,381.5212521,2.434
408.1735152,383.6151372,2.434
408.5233636,385.7090223,2.434
408.8732121,387.8029074,2.434
409.2230606,389.8967925,2.434
409.5729091,391.9906776,2.434
409.9227576,394.0845627,2.434
410.2726061,396.1784478,2.434
410.6224545,398.2723329,2.434
410.972303,400.366218,2.434
411.3221515,402.4601031,2.434
411.672,404.5539882,2.434
412.0218485,406.6478733,2.434
412.371697,408.7417584,2.434
412.7215455,410.8356435,2.434
413.0713939,412.9295286,2.434
413.4212424,415.0234137,2.434
413.7710909,417.1172987,2.434
414.1209394,419.2111838,2.434
414.4707879,421.3050689,2.434
414.8206364,423.398954,2.434
415.1704848,425.4928391,2.434
415.5203333,427.5867242,2.434
415.8701818,429.6806093,2.434
416.2200303,431.7744944,2.434
416.5698788,433.8683795,2.434
416.9197273,435.9622646,2.434
417.2695758,438.0561497,2.434
417.6194242,440.1500348,2.434
417.9692727,442.2439199,2.434
418.3191212,444.337805,2.434
418.6689697,446.4316901,2.434
419.0188182,448.5255752,2.434
419.3686667,450.6194603,2.434
419.7185152,452.7133454,2.434
420.0683636,454.8072305,2.434
420.4182121,456.9011156,2.434
420.7680606,458.9950007,2.434
421.1179091,461.0888858,2.434
421.4677576,463.1827709,2.434
421.8176061,465.276656,2.434
422.1674545,467.3705411,2.434
422.517303,469.4644262,2.434
422.8671515,471.5583113,2.434
423.217,473.6521964,2.434
388.582,812.5688253,3.763785714
388.9318485,820.2370794,3.763785714
389.281697,827.9053335,3.763785714
389.6315455,835.5735876,3.763785714
389.9813939,843.2418416,3.763785714
390.3312424,850.9100957,3.763785714
390.6810909,858.5783498,3.763785714
391.0309394,866.2466039,3.763785714
391.3807879,873.914858,3.763785714
391.7306364,881.5831121,3.763785714
392.0804848,889.2513662,3.763785714
392.4303333,896.9196203,3.763785714
392.7801818,904.5878744,3.763785714
393.1300303,912.2561285,3.763785714
393.4798788,919.9243826,3.763785714
393.8297273,927.5926367,3.763785714
394.1795758,935.2608908,3.763785714
394.5294242,942.9291449,3.763785714
394.8792727,950.5973989,3.763785714
395.2291212,958.265653,3.763785714
395.5789697,965.9339071,3.763785714
395.9288182,973.6021612,3.763785714
396.2786667,981.2704153,3.763785714
396.6285152,988.9386694,3.763785714
396.9783636,996.6069235,3.763785714
397.3282121,1004.275178,3.763785714
397.6780606,1011.943432,3.763785714
398.0279091,1019.611686,3.763785714
398.3777576,1027.27994,3.763785714
398.7276061,1034.948194,3.763785714
399.0774545,1042.616448,3.763785714
399.427303,1050.284702,3.763785714
399.7771515,1057.952956,3.763785714
400.127,1065.62121,3.763785714
400.4768485,1073.289464,3.763785714
400.826697,1080.957719,3.763785714
401.1765455,1088.625973,3.763785714
401.5263939,1096.294227,3.763785714
401.8762424,1103.962481,3.763785714
402.2260909,1111.630735,3.763785714
402.5759394,1119.298989,3.763785714
402.9257879,1126.967243,3.763785714
403.2756364,1134.635497,3.763785714
403.6254848,1142.303751,3.763785714
403.9753333,1149.972005,3.763785714
404.3251818,1157.640259,3.763785714
404.6750303,1165.308514,3.763785714
405.0248788,1172.976768,3.763785714
405.3747273,1180.645022,3.763785714
405.7245758,1188.313276,3.763785714
406.0744242,1195.98153,3.763785714
406.4242727,1203.649784,3.763785714
406.7741212,1211.318038,3.763785714
407.1239697,1218.986292,3.763785714
407.4738182,1226.654546,3.763785714
407.8236667,1234.3228,3.763785714
408.1735152,1241.991054,3.763785714
408.5233636,1249.659309,3.763785714
408.8732121,1257.327563,3.763785714
409.2230606,1264.995817,3.763785714
409.5729091,1272.664071,3.763785714
409.9227576,1280.332325,3.763785714
410.2726061,1288.000579,3.763785714
410.6224545,1295.668833,3.763785714
410.972303,1303.337087,3.763785714
411.3221515,1311.005341,3.763785714
411.672,1318.673595,3.763785714
412.0218485,1326.34185,3.763785714
412.371697,1334.010104,3.763785714
412.7215455,1341.678358,3.763785714
413.0713939,1349.346612,3.763785714
413.4212424,1357.014866,3.763785714
413.7710909,1364.68312,3.763785714
414.1209394,1372.351374,3.763785714
414.4707879,1380.019628,3.763785714
414.8206364,1387.687882,3.763785714
415.1704848,1395.356136,3.763785714
415.5203333,1403.02439,3.763785714
415.8701818,1410.692645,3.763785714
416.2200303,1418.360899,3.763785714
416.5698788,1426.029153,3.763785714
416.9197273,1433.697407,3.763785714
417.2695758,1441.365661,3.763785714
417.6194242,1449.033915,3.763785714
417.9692727,1456.702169,3.763785714
418.3191212,1464.370423,3.763785714
