CO2 Concentration,Predicted_GPP,Pa
362.364,1724.037302,98.722
362.7037576,1725.232636,98.722
363.0435152,1726.42797,98.722
363.3832727,1727.623303,98.722
363.7230303,1728.818637,98.722
364.0627879,1730.013971,98.722
364.4025455,1731.209304,98.722
364.742303,1732.404638,98.722
365.0820606,1733.599972,98.722
365.4218182,1734.795305,98.722
365.7615758,1735.990639,98.722
366.1013333,1737.185973,98.722
366.4410909,1738.381306,98.722
366.7808485,1739.57664,98.722
367.1206061,1740.771974,98.722
367.4603636,1741.967307,98.722
367.8001212,1743.162641,98.722
368.1398788,1744.357975,98.722
368.4796364,1745.553308,98.722
368.8193939,1746.748642,98.722
369.1591515,1747.943976,98.722
369.4989091,1749.139309,98.722
369.8386667,1750.334643,98.722
370.1784242,1751.529977,98.722
370.5181818,1752.72531,98.722
370.8579394,1753.920644,98.722
371.197697,1755.115978,98.722
371.5374545,1756.311311,98.722
371.8772121,1757.506645,98.722
372.2169697,1758.701979,98.722
372.5567273,1759.897312,98.722
372.8964848,1761.092646,98.722
373.2362424,1762.28798,98.722
373.576,1763.483313,98.722
373.9157576,1764.678647,98.722
374.2555152,1765.873981,98.722
374.5952727,1767.069314,98.722
374.9350303,1768.264648,98.722
375.2747879,1769.459982,98.722
375.6145455,1770.655315,98.722
375.954303,1771.850649,98.722
376.2940606,1773.045983,98.722
376.6338182,1774.241316,98.722
376.9735758,1775.43665,98.722
377.3133333,1776.631984,98.722
377.6530909,1777.827317,98.722
377.9928485,1779.022651,98.722
378.3326061,1780.217985,98.722
378.6723636,1781.413318,98.722
379.0121212,1782.608652,98.722
379.3518788,1783.803986,98.722
379.6916364,1784.999319,98.722
380.0313939,1786.194653,98.722
380.3711515,1787.389987,98.722
380.7109091,1788.58532,98.722
381.0506667,1789.780654,98.722
381.3904242,1790.975988,98.722
381.7301818,1792.171321,98.722
382.0699394,1793.366655,98.722
382.409697,1794.561989,98.722
382.7494545,1795.757322,98.722
383.0892121,1796.952656,98.722
383.4289697,1798.14799,98.722
383.7687273,1799.343323,98.722
384.1084848,1800.538657,98.722
384.4482424,1801.733991,98.722
384.788,1802.929324,98.722
385.1277576,1804.124658,98.722
385.4675152,1805.319992,98.722
385.8072727,1806.515325,98.722
386.1470303,1807.710659,98.722
386.4867879,1808.905993,98.722
386.8265455,1810.101326,98.722
387.166303,1811.29666,98.722
387.5060606,1812.491994,98.722
387.8458182,1813.687327,98.722
388.1855758,1814.882661,98.722
388.5253333,1816.077995,98.722
388.8650909,1817.273328,98.722
389.2048485,1818.468662,98.722
389.5446061,1819.663996,98.722
389.8843636,1820.859329,98.722
390.2241212,1822.054663,98.722
390.5638788,1823.249997,98.722
390.9036364,1824.44533,98.722
391.2433939,1825.640664,98.722
391.5831515,1826.835998,98.722
391.9229091,1828.031331,98.722
392.2626667,1829.226665,98.722
392.6024242,1830.421999,98.722
392.9421818,1831.617332,98.722
393.2819394,1832.812666,98.722
393.621697,1834.008,98.722
393.9614545,1835.203333,98.722
394.3012121,1836.398667,98.722
394.6409697,1837.594001,98.722
394.9807273,1838.789334,98.722
395.3204848,1839.984668,98.722
395.6602424,1841.180002,98.722
396,1842.375335,98.722
362.364,1131.147361,98.9578
362.7037576,1148.67333,98.9578
363.0435152,1166.1993,98.9578
363.3832727,1183.72527,98.9578
363.7230303,1201.25124,98.9578
364.0627879,1218.77721,98.9578
364.4025455,1236.303179,98.9578
364.742303,1253.829149,98.9578
365.0820606,1271.355119,98.9578
365.4218182,1288.881089,98.9578
365.7615758,1306.407059,98.9578
366.1013333,1323.933028,98.9578
366.4410909,1341.458998,98.9578
