CO2 Concentration,Predicted_GPP,P
370.151,1864.956171,960.201
370.5218081,1865.462073,960.201
370.8926162,1865.967975,960.201
371.2634242,1866.473877,960.201
371.6342323,1866.979779,960.201
372.0050404,1867.485681,960.201
372.3758485,1867.991582,960.201
372.7466566,1868.497484,960.201
373.1174646,1869.003386,960.201
373.4882727,1869.509288,960.201
373.8590808,1870.01519,960.201
374.2298889,1870.521092,960.201
374.600697,1871.026994,960.201
374.9715051,1871.532896,960.201
375.3423131,1872.038798,960.201
375.7131212,1872.5447,960.201
376.0839293,1873.050602,960.201
376.4547374,1873.556504,960.201
376.8255455,1874.062405,960.201
377.1963535,1874.568307,960.201
377.5671616,1875.074209,960.201
377.9379697,1875.580111,960.201
378.3087778,1876.086013,960.201
378.6795859,1876.591915,960.201
379.0503939,1877.097817,960.201
379.421202,1877.603719,960.201
379.7920101,1878.109621,960.201
380.1628182,1878.615523,960.201
380.5336263,1879.121425,960.201
380.9044343,1879.627327,960.201
381.2752424,1880.133228,960.201
381.6460505,1880.63913,960.201
382.0168586,1881.145032,960.201
382.3876667,1881.650934,960.201
382.7584747,1882.156836,960.201
383.1292828,1882.662738,960.201
383.5000909,1883.16864,960.201
383.870899,1883.674542,960.201
384.2417071,1884.180444,960.201
384.6125152,1884.686346,960.201
384.9833232,1885.192248,960.201
385.3541313,1885.69815,960.201
385.7249394,1886.204051,960.201
386.0957475,1886.709953,960.201
386.4665556,1887.215855,960.201
386.8373636,1887.721757,960.201
387.2081717,1888.227659,960.201
387.5789798,1888.733561,960.201
387.9497879,1889.239463,960.201
388.320596,1889.745365,960.201
388.691404,1890.251267,960.201
389.0622121,1890.757169,960.201
389.4330202,1891.263071,960.201
389.8038283,1891.768973,960.201
390.1746364,1892.274874,960.201
390.5454444,1892.780776,960.201
390.9162525,1893.286678,960.201
391.2870606,1893.79258,960.201
391.6578687,1894.298482,960.201
392.0286768,1894.804384,960.201
392.3994848,1895.310286,960.201
392.7702929,1895.816188,960.201
393.141101,1896.32209,960.201
393.5119091,1896.827992,960.201
393.8827172,1897.333894,960.201
394.2535253,1897.839796,960.201
394.6243333,1898.345697,960.201
394.9951414,1898.851599,960.201
395.3659495,1899.357501,960.201
395.7367576,1899.863403,960.201
396.1075657,1900.369305,960.201
396.4783737,1900.875207,960.201
396.8491818,1901.381109,960.201
397.2199899,1901.887011,960.201
397.590798,1902.392913,960.201
397.9616061,1902.898815,960.201
398.3324141,1903.404717,960.201
398.7032222,1903.910619,960.201
399.0740303,1904.41652,960.201
399.4448384,1904.922422,960.201
399.8156465,1905.428324,960.201
400.1864545,1905.934226,960.201
400.5572626,1906.440128,960.201
400.9280707,1906.94603,960.201
401.2988788,1907.451932,960.201
401.6696869,1907.957834,960.201
402.0404949,1908.463736,960.201
402.411303,1908.969638,960.201
402.7821111,1909.47554,960.201
403.1529192,1909.981442,960.201
403.5237273,1910.487344,960.201
403.8945354,1910.993245,960.201
404.2653434,1911.499147,960.201
404.6361515,1912.005049,960.201
405.0069596,1912.510951,960.201
405.3777677,1913.016853,960.201
405.7485758,1913.522755,960.201
406.1193838,1914.028657,960.201
406.4901919,1914.534559,960.201
406.861,1915.040461,960.201
370.151,818.0157658,1291.897182
