CO2 Concentration,Predicted_GPP,P
392.5093131,2287.573824,1418.634545
392.7143838,2300.943686,1418.634545
392.9194545,2314.313547,1418.634545
393.1245253,2327.683409,1418.634545
393.329596,2341.05327,1418.634545
393.5346667,2354.423132,1418.634545
393.7397374,2367.792994,1418.634545
393.9448081,2381.162855,1418.634545
394.1498788,2394.532717,1418.634545
394.3549495,2407.902578,1418.634545
394.5600202,2421.27244,1418.634545
394.7650909,2434.642302,1418.634545
394.9701616,2448.012163,1418.634545
395.1752323,2461.382025,1418.634545
395.380303,2474.751886,1418.634545
395.5853737,2488.121748,1418.634545
395.7904444,2501.49161,1418.634545
395.9955152,2514.861471,1418.634545
396.2005859,2528.231333,1418.634545
396.4056566,2541.601195,1418.634545
396.6107273,2554.971056,1418.634545
396.815798,2568.340918,1418.634545
397.0208687,2581.710779,1418.634545
397.2259394,2595.080641,1418.634545
397.4310101,2608.450503,1418.634545
397.6360808,2621.820364,1418.634545
397.8411515,2635.190226,1418.634545
398.0462222,2648.560087,1418.634545
398.2512929,2661.929949,1418.634545
398.4563636,2675.299811,1418.634545
398.6614343,2688.669672,1418.634545
398.8665051,2702.039534,1418.634545
399.0715758,2715.409395,1418.634545
399.2766465,2728.779257,1418.634545
399.4817172,2742.149119,1418.634545
399.6867879,2755.51898,1418.634545
399.8918586,2768.888842,1418.634545
400.0969293,2782.258703,1418.634545
400.302,2795.628565,1418.634545
380,10.81718576,1709.964
380.2050707,47.32982082,1709.964
380.4101414,83.84245588,1709.964
380.6152121,120.3550909,1709.964
380.8202828,156.867726,1709.964
381.0253535,193.3803611,1709.964
381.2304242,229.8929961,1709.964
381.4354949,266.4056312,1709.964
381.6405657,302.9182662,1709.964
381.8456364,339.4309013,1709.964
382.0507071,375.9435364,1709.964
382.2557778,412.4561714,1709.964
382.4608485,448.9688065,1709.964
382.6659192,485.4814415,1709.964
382.8709899,521.9940766,1709.964
383.0760606,558.5067117,1709.964
383.2811313,595.0193467,1709.964
383.486202,631.5319818,1709.964
383.6912727,668.0446168,1709.964
383.8963434,704.5572519,1709.964
384.1014141,741.069887,1709.964
384.3064848,777.582522,1709.964
384.5115556,814.0951571,1709.964
384.7166263,850.6077921,1709.964
384.921697,887.1204272,1709.964
385.1267677,923.6330623,1709.964
385.3318384,960.1456973,1709.964
385.5369091,996.6583324,1709.964
385.7419798,1033.170967,1709.964
385.9470505,1069.683602,1709.964
386.1521212,1106.196238,1709.964
386.3571919,1142.708873,1709.964
386.5622626,1179.221508,1709.964
386.7673333,1215.734143,1709.964
386.972404,1252.246778,1709.964
387.1774747,1288.759413,1709.964
387.3825455,1325.272048,1709.964
387.5876162,1361.784683,1709.964
387.7926869,1398.297318,1709.964
387.9977576,1434.809953,1709.964
388.2028283,1471.322588,1709.964
388.407899,1507.835223,1709.964
388.6129697,1544.347858,1709.964
388.8180404,1580.860493,1709.964
389.0231111,1617.373128,1709.964
389.2281818,1653.885763,1709.964
389.4332525,1690.398399,1709.964
389.6383232,1726.911034,1709.964
389.8433939,1763.423669,1709.964
390.0484646,1799.936304,1709.964
390.2535354,1836.448939,1709.964
390.4586061,1872.961574,1709.964
390.6636768,1909.474209,1709.964
390.8687475,1945.986844,1709.964
391.0738182,1982.499479,1709.964
391.2788889,2019.012114,1709.964
391.4839596,2055.524749,1709.964
391.6890303,2092.037384,1709.964
391.894101,2128.550019,1709.964
392.0991717,2165.062654,1709.964
392.3042424,2201.575289,1709.964
392.5093131,2238.087924,1709.964
392.7143838,2274.600559,1709.964
392.9194545,2311.113195,1709.964
393.1245253,2347.62583,1709.964
393.329596,2384.138465,1709.964
393.5346667,2420.6511,1709.964
393.7397374,2457.163735,1709.964
393.9448081,2493.67637,1709.964
394.1498788,2530.189005,1709.964
394.3549495,2566.70164,1709.964
394.5600202,2603.214275,1709.964
394.7650909,2639.72691,1709.964
394.9701616,2676.239545,1709.964
395.1752323,2712.75218,1709.964
395.380303,2749.264815,1709.964
395.5853737,2785.77745,1709.964
395.7904444,2822.290085,1709.964
395.9955152,2858.80272,1709.964
396.2005859,2895.315355,1709.964
396.4056566,2931.827991,1709.964
396.6107273,2968.340626,1709.964
396.815798,3004.853261,1709.964
397.0208687,3041.365896,1709.964
397.2259394,3077.878531,1709.964
397.4310101,3114.391166,1709.964
397.6360808,3150.903801,1709.964
397.8411515,3187.416436,1709.964
398.0462222,3223.929071,1709.964
398.2512929,3260.441706,1709.964
398.4563636,3296.954341,1709.964
398.6614343,3333.466976,1709.964
398.8665051,3369.979611,1709.964
399.0715758,3406.492246,1709.964
399.2766465,3443.004881,1709.964
399.4817172,3479.517516,1709.964
399.6867879,3516.030151,1709.964
399.8918586,3552.542787,1709.964
400.0969293,3589.055422,1709.964
400.302,3625.568057,1709.964
